uid,count_late_for_work_1m,count_late_for_work_2m,count_late_for_work_3m,count_early_from_work_1m,count_early_from_work_2m,count_early_from_work_3m,count_day_off_1m,count_day_off_2m,count_day_off_3m
76320,12,32,36,28,28,47,12,26,33
60644,10,11,29,20,39,40,13,34,37
06033,8,28,38,18,27,34,2,15,22
04342,9,14,43,0,0,16,8,22,22
03381,15,22,31,1,2,29,8,10,17
72725,7,32,42,12,31,45,0,4,32
72197,20,24,35,8,11,41,17,24,30
91509,3,8,19,26,31,33,10,19,22
85245,10,11,14,6,6,30,8,10,16
02341,7,17,33,15,16,23,11,20,22
52381,2,11,22,5,18,37,6,15,40
15286,6,14,14,0,26,36,5,5,14
03549,10,36,42,14,22,26,30,33,50
19733,5,14,30,3,13,33,0,8,12
90673,0,25,28,4,18,25,6,13,19
03120,8,25,33,3,12,13,19,26,51
62698,3,17,26,7,9,24,18,18,19
16044,6,13,37,8,14,37,19,24,43
68288,0,4,9,19,26,27,9,17,32
72779,4,6,16,0,10,21,2,5,24
56223,19,28,28,2,26,30,10,17,23
55845,25,25,49,17,30,55,10,13,13
28956,3,17,22,2,15,16,4,12,30
68555,5,13,25,15,22,24,6,25,25
55597,3,29,38,20,24,33,6,23,30
53791,2,20,50,14,22,44,1,10,11
16602,8,24,31,4,21,48,3,4,15
08946,5,13,22,3,23,30,0,3,8
47372,0,0,1,8,11,28,5,15,31
02070,15,17,22,4,5,9,10,28,36
89004,8,8,15,20,25,33,24,31,55
54656,10,12,14,28,37,55,15,36,37
14995,18,18,20,28,31,36,0,4,21
20419,5,35,45,4,13,29,17,22,30
81970,8,18,20,4,6,21,20,32,61
35802,20,20,27,5,15,20,15,24,36
00574,1,3,23,10,14,28,4,29,30
80865,23,39,49,13,13,37,14,30,33
01633,10,19,25,22,25,31,27,28,45
39123,24,30,45,5,14,23,4,24,35
06918,0,4,24,19,25,31,16,18,19
98655,28,36,44,10,13,36,14,19,46
15088,10,13,21,9,26,35,9,16,26
28563,16,19,46,1,11,11,20,21,50
91228,26,50,56,2,5,18,2,15,23
30343,3,8,22,15,36,44,4,4,8
57567,13,32,40,0,6,15,8,15,16
19371,27,35,55,4,22,28,22,34,43
95255,1,4,20,10,13,19,2,30,38
72851,4,4,9,8,37,53,0,27,28
89902,1,3,3,5,34,49,24,28,37
18357,26,36,55,0,10,20,3,21,22
62521,6,13,20,27,29,39,21,29,59
19688,0,8,10,1,6,10,13,26,37
86193,4,16,30,11,17,19,13,25,51
21635,18,37,45,2,2,2,9,34,41
83257,7,18,23,10,18,31,19,21,21
88364,13,16,25,3,25,28,15,26,47
37130,1,9,9,18,18,46,16,20,25
16886,18,27,45,20,32,50,20,26,41
39351,7,24,30,15,38,43,5,13,38
89432,14,26,36,27,30,42,18,27,46
60048,6,16,38,12,13,23,8,22,36
55141,1,12,23,12,26,34,1,24,42
37569,0,3,18,30,57,74,11,25,32
79560,17,25,27,17,33,33,16,17,26
69890,10,25,33,7,14,43,10,18,18
65978,19,23,23,24,32,34,25,41,44
92123,22,30,37,18,23,27,8,17,36
10527,5,15,21,10,20,30,1,7,8
96082,3,17,45,3,9,12,2,6,16
35921,10,15,27,8,36,47,12,25,40
21887,1,16,36,16,26,35,0,9,10
62203,12,17,34,4,6,16,15,15,31
59733,5,20,25,3,23,41,6,11,14
41694,25,44,44,5,12,17,5,5,6
50872,4,10,11,30,46,58,6,16,25
21299,3,17,25,24,38,55,18,19,48
68358,10,17,21,8,21,23,24,32,55
99433,2,6,22,16,38,56,0,28,53
76802,6,21,28,22,29,31,0,7,17
21831,0,17,25,7,19,21,0,19,36
90961,15,16,24,1,31,31,1,8,15
15440,8,8,18,3,5,11,24,32,40
68946,4,6,11,19,20,36,18,48,53
94104,8,34,43,24,54,60,1,11,33
54285,12,32,38,3,22,41,2,29,33
92980,27,43,53,20,22,40,2,2,32
98524,8,26,35,8,31,44,10,36,44
13391,0,7,17,4,30,41,27,46,46
94185,9,29,49,1,14,16,10,13,15
81175,8,14,31,5,12,39,0,13,19
65493,12,12,35,3,5,14,6,9,23
86358,17,21,35,7,8,8,13,19,28
48827,2,8,8,0,9,27,0,2,22
66742,26,26,36,10,27,33,1,17,23
41516,9,24,53,13,42,56,30,50,61
41253,23,25,25,23,25,28,6,24,32
92713,9,9,23,4,16,18,23,46,54
11227,21,23,24,5,16,20,4,25,37
42964,1,22,32,7,14,15,12,13,30
45740,3,20,30,15,25,27,14,44,50
83098,9,16,25,17,32,34,15,36,56
52675,19,22,25,7,14,21,2,30,49
55812,8,10,15,0,0,3,0,14,40
21707,10,14,22,6,7,16,2,4,5
72980,8,18,36,13,21,27,6,16,24
85313,18,25,29,15,38,51,4,26,39
83266,20,37,60,5,5,13,20,29,39
45375,17,32,52,3,6,16,1,18,18
59977,18,23,24,1,5,12,3,20,24
86736,2,12,15,16,45,54,19,27,39
92258,2,6,10,17,44,51,4,13,14
67834,0,1,10,24,32,37,20,23,35
54625,2,18,39,10,22,32,7,36,45
47180,1,1,11,19,39,44,17,46,46
37441,10,15,16,12,14,21,9,10,11
21006,2,22,46,13,17,20,1,10,36
03567,9,12,41,14,33,43,11,21,23
02088,20,22,52,18,33,40,1,11,16
42661,1,13,17,15,15,18,20,22,43
07538,4,11,17,9,11,12,17,35,38
87803,1,5,11,2,9,21,0,29,35
44773,8,19,33,2,13,21,25,40,58
49490,3,11,16,16,41,59,2,9,37
05151,4,8,20,5,25,39,0,15,44
97852,9,11,16,29,34,34,16,38,46
07307,1,1,29,30,31,41,0,10,10
04897,18,20,49,2,17,26,15,22,26
91939,9,14,30,3,33,34,6,29,36
87685,13,33,42,27,35,40,11,12,15
12093,9,12,12,28,54,79,16,24,43
45607,14,18,27,18,24,32,4,15,25
62462,16,16,23,8,12,12,25,43,45
49947,13,30,34,18,28,36,6,19,19
70463,15,15,19,2,11,12,7,8,17
06445,5,10,19,0,8,38,3,12,23
53841,0,1,24,19,41,44,3,6,31
19180,0,27,46,28,33,38,16,18,35
89956,4,5,14,10,20,22,2,7,7
22262,13,22,29,7,14,23,8,8,10
15805,13,19,19,11,13,15,30,47,64
21484,5,16,17,1,8,12,1,7,19
64320,13,21,22,10,16,36,13,41,48
88313,10,15,21,6,27,45,19,23,28
51696,18,37,51,0,2,4,2,6,16
06034,2,20,22,8,16,21,2,12,12
44609,7,9,10,5,13,29,8,12,15
86439,4,8,9,10,13,31,4,13,19
60465,6,18,22,9,11,21,28,46,55
17494,30,46,48,8,31,33,15,25,31
31197,12,15,30,3,20,22,10,26,31
04709,3,4,10,6,9,15,4,31,34
89576,2,5,18,14,41,43,2,6,21
02801,16,25,39,2,18,40,10,27,32
86538,24,30,40,3,9,17,3,4,10
33970,3,10,28,18,24,38,23,34,36
87585,7,28,31,8,9,29,9,15,23
19592,6,6,24,2,16,20,19,23,41
89874,14,23,31,27,39,49,17,27,44
69801,4,7,15,7,34,57,17,25,39
93927,10,16,30,5,15,25,3,13,21
30432,23,39,43,11,37,40,10,16,16
88633,8,27,42,7,19,21,3,6,33
50698,9,26,44,2,16,21,17,34,42
66650,5,23,27,10,10,21,6,32,45
17472,30,42,48,25,30,37,2,3,5
30784,2,8,8,1,5,6,11,23,26
60367,7,27,56,14,32,52,6,20,50
94578,17,32,37,10,13,18,17,24,25
80507,10,26,36,0,0,8,19,22,26
23529,9,17,31,25,40,41,13,26,29
34811,8,13,16,3,8,27,6,25,32
75195,26,35,46,7,27,47,9,15,15
04374,9,10,14,8,8,9,8,16,19
23060,5,8,15,21,29,57,4,11,38
48052,9,26,31,17,21,23,1,20,33
99745,3,22,30,12,20,20,1,9,11
29355,3,19,19,6,8,30,8,31,40
81040,4,6,16,10,30,41,4,22,31
13874,10,21,23,19,23,31,17,27,29
09847,2,6,24,0,13,20,3,6,7
65573,12,19,34,0,25,43,0,12,18
75473,0,7,16,4,5,25,18,22,50
43050,3,18,20,14,16,25,4,10,18
11065,6,25,29,5,10,16,7,16,21
49629,17,25,33,15,20,24,11,27,36
05637,6,9,15,14,17,21,6,24,36
12889,17,25,34,15,43,46,20,33,59
18206,17,23,23,3,25,34,14,19,23
54531,10,39,40,13,23,24,8,12,14
38454,6,20,30,9,11,26,4,10,39
07221,12,41,60,7,25,37,3,5,31
46344,13,13,40,1,14,28,1,8,15
49769,4,15,30,7,21,29,21,46,48
69984,9,20,37,1,14,20,17,29,32
77799,23,37,40,3,8,21,3,8,10
28045,5,16,31,15,22,50,12,13,23
72891,5,26,31,1,10,17,1,6,8
71479,18,46,57,18,22,47,3,3,22
65936,11,16,29,14,20,45,20,27,34
