uid,count_late_for_work_1m,count_late_for_work_2m,count_late_for_work_3m,count_early_from_work_1m,count_early_from_work_2m,count_early_from_work_3m,count_day_off_1m,count_day_off_2m,count_day_off_3m
52932,7,23,26,3,22,32,8,8,20
29204,9,11,20,16,17,27,5,9,20
01576,7,10,27,13,32,46,9,29,29
00434,14,29,39,0,8,27,2,12,23
61153,4,14,39,11,14,21,18,27,43
30067,4,19,22,18,30,30,28,49,58
44204,13,18,27,17,20,42,6,8,25
43246,4,18,25,13,24,54,23,46,74
41508,7,19,24,17,37,47,12,22,29
98825,16,34,38,15,15,31,7,22,31
75048,0,4,14,16,16,21,25,30,33
48555,19,33,44,16,17,27,0,8,11
09689,6,12,12,0,1,11,5,6,8
88798,24,29,31,14,23,26,17,21,21
54863,8,30,49,19,20,33,22,38,42
66279,17,25,41,6,26,32,10,13,20
48962,2,7,26,2,3,8,1,5,9
18184,27,27,38,19,24,34,3,10,11
39674,8,14,29,23,24,26,17,26,26
36838,25,30,33,8,27,40,11,33,33
56373,18,36,47,8,11,20,20,38,39
59862,26,50,56,0,24,27,15,20,23
53739,7,37,40,19,22,48,13,23,24
50658,5,8,10,7,7,13,16,35,36
41044,10,32,41,15,22,25,2,2,30
50385,4,5,10,4,8,18,26,56,66
40106,2,7,19,13,21,36,11,41,46
04728,25,25,45,6,25,32,6,30,31
16656,13,18,23,27,55,65,5,13,16
89735,2,7,22,23,32,41,4,16,32
49478,10,23,27,8,8,10,2,14,21
68737,8,8,11,2,13,21,20,39,49
72866,19,32,39,8,20,31,10,10,24
26418,6,6,19,10,22,28,3,8,27
28927,3,12,36,10,29,37,12,13,16
13942,3,9,18,19,34,44,15,19,36
78217,3,18,28,8,24,32,9,28,31
52610,12,26,43,0,7,12,9,14,27
12734,14,19,45,28,57,57,16,27,34
21087,6,17,17,8,10,25,16,18,20
73953,11,18,35,16,21,24,2,15,17
51394,27,37,47,4,9,17,8,17,20
93407,23,27,41,16,19,26,16,19,24
41829,3,7,13,21,22,32,8,27,35
29999,1,7,16,8,13,16,4,30,34
72137,9,15,23,12,21,27,28,30,42
49828,21,31,37,24,36,56,6,13,14
87221,12,30,33,13,13,19,15,25,46
51981,2,11,30,2,5,23,2,17,26
02908,1,3,7,0,11,12,15,23,34
14921,6,11,27,0,6,22,28,46,76
38221,13,18,20,9,12,16,20,37,39
29553,27,36,58,7,13,29,12,12,29
01445,2,7,25,27,28,38,9,13,40
30313,10,15,29,9,12,31,15,29,48
57681,15,29,46,5,20,39,8,17,25
30574,0,8,11,18,22,27,1,10,18
