uid,count_late_for_work_1m,count_late_for_work_2m,count_late_for_work_3m,count_early_from_work_1m,count_early_from_work_2m,count_early_from_work_3m,count_day_off_1m,count_day_off_2m,count_day_off_3m,count_workdays_weekend_1m,count_workdays_weekend_2m,count_workdays_weekend_3m
44134,14,14,20,14,18,18,26,40,55,4,31,48
45423,7,23,42,3,21,27,1,7,33,7,23,25
33507,6,21,21,9,14,21,0,10,24,1,5,27
57893,13,40,40,9,11,16,25,36,44,8,15,22
22233,1,8,16,18,21,33,3,16,29,11,15,28
60635,29,59,74,1,5,35,6,8,22,5,5,19
41936,16,22,26,1,15,33,0,21,25,7,14,30
15672,1,8,17,9,28,57,6,8,16,11,21,42
19723,7,7,13,22,33,41,7,14,26,5,18,20
92500,7,19,20,9,24,28,2,3,14,5,20,25
21122,8,15,17,1,1,25,10,11,15,17,17,20
22520,2,16,35,3,21,32,3,20,39,12,20,27
34081,21,41,50,2,19,33,19,20,30,4,14,23
20121,25,37,49,8,17,25,2,32,36,21,34,43
03875,15,26,35,8,9,38,6,10,18,7,16,23
75592,2,24,31,19,43,46,0,0,0,16,26,42
23148,17,18,18,16,19,42,6,7,8,1,10,28
23660,15,16,41,16,33,54,7,13,20,2,11,21
23564,0,4,12,8,8,11,7,9,26,5,17,37
67444,20,22,39,16,21,29,0,2,3,2,10,12
78214,4,9,14,7,10,18,18,38,42,4,14,19
71040,9,15,34,2,7,12,6,13,20,27,44,47
37156,19,29,51,9,13,21,6,11,25,10,35,36
05006,0,2,2,3,12,18,0,1,2,3,3,9
57571,24,40,64,9,14,29,13,19,24,0,2,21
24078,30,37,37,2,9,13,5,9,9,1,10,13
23586,1,12,22,6,15,42,0,17,32,3,5,21
48184,10,13,26,6,15,20,6,14,30,1,17,21
89258,10,22,46,20,25,31,4,6,27,1,16,16
74387,2,5,5,4,10,15,10,19,34,25,36,45
35378,20,25,34,12,32,38,10,19,22,9,24,25
98803,6,7,13,9,18,19,17,26,30,30,47,70
40678,6,11,22,24,25,32,4,9,9,21,22,34
12639,1,28,39,16,35,39,14,33,40,2,23,39
