uid,count_late_for_work_1m,count_late_for_work_2m,count_late_for_work_3m,count_early_from_work_1m,count_early_from_work_2m,count_early_from_work_3m,count_day_off_1m,count_day_off_2m,count_day_off_3m
41176,0,7,13,6,14,41,19,34,54
48703,0,2,6,4,8,26,10,17,43
13564,19,20,26,16,21,27,10,40,43
37121,26,28,45,3,11,12,6,14,28
55953,4,34,64,7,18,18,8,25,41
05039,19,49,54,9,28,46,12,18,21
11550,21,38,62,15,23,32,20,27,32
95642,16,18,36,4,7,20,8,20,24
48866,17,29,32,0,1,7,11,24,44
32885,1,4,29,10,24,54,10,25,35
55710,9,24,49,9,10,17,6,11,12
02534,8,28,46,27,32,54,6,11,21
11789,0,6,9,16,37,66,13,19,22
71215,7,12,16,14,23,35,18,37,52
32938,12,14,26,9,13,21,3,29,40
16457,21,23,36,1,14,39,9,32,39
60561,9,15,15,2,12,19,1,11,16
18905,21,22,30,18,36,62,9,19,25
97289,7,16,24,14,18,26,8,9,11
55490,4,7,33,0,18,32,19,26,28
22643,30,35,41,7,10,15,12,18,20
70214,6,19,21,2,7,33,10,13,32
15381,14,19,21,10,23,42,26,36,42
18579,3,33,63,9,10,10,0,3,28
55692,2,32,32,9,24,26,20,35,38
28734,4,19,49,5,7,12,8,28,36
88659,1,3,20,11,17,18,28,39,66
98245,6,13,23,5,9,15,9,17,33
57129,14,16,23,14,22,38,10,30,42
43530,2,7,37,11,17,17,11,14,18
93016,6,8,17,11,11,30,2,9,12
39942,0,19,31,9,29,33,12,20,21
88757,14,14,41,0,2,9,15,25,29
04690,4,11,18,3,10,29,8,15,26
84657,5,12,20,6,6,23,24,31,46
06141,2,21,23,3,24,29,8,38,52
60118,3,10,12,21,29,39,6,25,40
70009,0,5,28,4,21,44,8,18,21
61691,7,18,19,11,11,23,4,4,20
70758,12,20,38,6,24,42,14,22,24
47769,5,5,30,2,14,18,15,19,34
90348,18,18,27,19,23,26,16,24,34
01860,17,17,21,9,27,32,17,38,58
29072,27,44,49,9,16,23,15,24,48
88258,1,11,32,18,42,60,8,9,22
43376,1,19,23,10,18,26,2,13,29
30349,8,18,45,20,22,48,17,34,51
42446,0,15,22,18,27,27,3,10,18
33682,14,17,30,8,28,43,4,11,16
58475,2,16,40,3,21,27,0,19,39
66856,6,16,23,3,29,35,16,19,19
48199,13,15,28,26,32,36,4,9,15
64255,13,17,41,0,8,27,1,7,13
17241,6,9,18,9,33,56,6,17,35
47486,5,22,41,8,14,16,1,5,21
35333,7,27,39,4,9,10,3,25,34
25203,29,34,37,0,4,24,7,22,33
33704,18,25,48,2,3,4,3,17,19
36618,15,18,26,11,28,42,5,11,38
33427,7,23,26,7,26,53,8,20,38
99569,8,18,27,14,24,31,5,12,16
37434,30,39,41,23,23,31,9,15,17
14308,2,12,23,21,35,38,9,34,36
53982,8,11,20,2,8,12,19,35,42
67912,24,30,30,9,19,19,6,6,9
41128,8,9,12,17,25,32,17,24,42
85435,2,19,27,0,0,2,7,19,23
90561,6,11,21,0,8,19,27,37,44
81402,7,23,26,2,5,30,27,28,42
19388,1,6,8,11,14,23,21,27,41
29866,12,22,29,7,23,42,11,18,32
41905,20,20,27,1,30,52,18,19,21
22356,27,36,56,13,28,43,11,22,24
03815,23,23,25,7,8,17,1,4,20
55042,6,9,15,18,23,30,20,42,42
84532,9,27,54,12,18,24,5,14,18
47823,17,27,37,25,30,40,18,26,33
35677,1,9,25,10,11,14,0,15,15
84141,19,32,44,18,41,46,20,31,33
23704,2,30,32,11,27,32,3,11,33
74746,10,19,21,2,3,5,0,6,16
70681,3,3,20,3,22,22,14,31,31
31000,18,24,40,5,20,38,10,19,23
77303,7,14,29,2,8,8,7,8,27
70897,27,32,36,10,14,14,2,3,31
78027,11,25,25,3,3,23,6,20,23
54235,11,14,35,29,38,42,23,41,58
61339,5,34,56,4,24,30,17,29,52
