uid,count_late_for_work_1m,count_late_for_work_2m,count_late_for_work_3m,count_early_from_work_1m,count_early_from_work_2m,count_early_from_work_3m,count_day_off_1m,count_day_off_2m,count_day_off_3m
88490,2,19,22,2,22,41,11,15,34
80689,17,23,50,6,10,22,3,7,17
42575,8,15,43,3,12,20,7,19,22
00304,6,6,6,27,32,47,28,57,72
72254,19,23,29,3,11,30,17,32,38
35080,29,29,46,8,25,31,10,24,25
73756,6,6,10,7,13,33,1,1,15
53257,3,11,31,13,41,42,6,29,39
93960,7,21,31,3,26,33,22,47,63
82605,30,33,45,5,13,15,9,23,27
63827,7,31,31,19,21,36,6,11,12
49611,18,20,38,17,20,29,3,11,14
35921,8,9,29,24,37,46,0,8,18
04422,10,19,23,19,35,35,2,6,12
54769,7,22,34,16,25,29,24,36,53
72352,18,25,44,5,6,17,22,24,36
90928,10,15,17,21,48,67,14,21,22
45361,10,23,26,5,5,20,4,6,7
55675,3,16,28,13,25,35,2,2,2
04236,4,26,42,2,11,15,5,35,39
01685,17,37,62,8,9,35,18,25,30
82655,22,50,78,8,11,12,1,2,22
24374,14,23,30,7,29,29,6,26,38
30182,15,23,48,6,8,13,29,38,49
30914,29,39,46,23,39,60,6,7,7
75129,9,39,60,5,15,43,9,25,33
17305,7,26,41,3,11,16,20,25,43
40809,17,33,52,2,32,37,13,15,15
57542,9,17,35,7,26,26,18,25,42
87140,8,30,41,4,8,15,19,39,41
10051,28,31,35,5,13,22,8,18,22
05641,4,9,29,15,31,32,10,14,43
46766,2,31,48,5,13,15,0,10,11
66819,5,13,21,9,14,23,8,12,14
60068,10,16,22,19,23,41,2,26,41
68451,3,19,24,28,36,52,18,21,22
74302,5,7,12,4,22,46,1,13,41
82124,17,27,32,7,12,27,28,41,53
69020,5,14,39,20,25,37,19,22,38
47687,7,19,27,16,46,54,0,8,26
89441,3,4,13,9,29,44,0,20,32
91040,5,5,6,22,32,50,1,30,31
07587,16,36,39,3,5,12,3,11,16
05046,1,9,24,6,24,31,8,18,21
01922,14,26,26,8,13,13,11,12,15
76740,1,11,11,1,4,23,2,2,2
24497,24,38,43,0,1,2,6,33,38
12600,0,14,28,11,22,43,11,20,26
58895,30,46,46,14,20,24,23,31,45
74687,9,13,21,15,18,23,23,35,54
37610,11,15,18,8,9,11,16,22,28
07258,13,15,18,0,17,23,15,24,26
93783,26,26,50,5,15,32,5,12,38
09544,9,11,24,2,7,35,6,23,27
46380,7,22,42,11,11,21,19,19,20
42399,20,22,35,4,24,34,7,14,24
48753,18,31,36,26,48,50,16,17,20
24892,4,17,17,1,6,25,2,2,11
29388,4,9,14,25,41,43,9,11,12
55396,2,11,29,7,17,19,3,15,33
54652,24,49,55,1,7,27,22,41,59
26742,6,14,18,1,9,10,18,22,28
19831,5,9,13,17,22,27,4,32,41
84264,3,13,13,4,12,12,10,17,39
86192,8,28,34,19,23,28,7,26,35
90938,3,9,15,3,4,13,19,23,35
26359,8,11,15,4,8,21,20,36,53
94307,0,2,8,16,35,39,13,20,25
20181,22,45,53,18,24,34,9,13,27
21038,7,24,44,10,35,43,7,7,10
21178,6,11,18,20,39,39,11,36,49
67439,17,35,54,4,31,36,6,6,9
82851,7,21,28,28,58,63,8,8,35
82608,17,25,29,3,25,31,0,1,6
51467,17,20,28,29,39,45,23,50,60
06268,7,24,33,6,20,23,8,31,60
98018,4,12,30,30,46,46,3,8,31
09705,3,12,14,5,10,12,13,15,28
42320,12,18,24,3,15,22,4,14,25
92348,30,55,73,5,22,22,16,35,55
39322,10,25,45,14,35,44,6,7,25
94055,0,9,27,6,15,34,3,11,15
99235,19,37,54,3,14,18,1,4,4
72553,1,10,27,3,31,36,10,11,13
65567,4,17,18,0,18,35,4,13,14
51847,21,36,55,8,16,24,1,4,12
55206,26,45,52,0,2,4,0,1,5
66144,10,14,15,21,21,28,19,24,26
05071,11,12,18,6,16,45,6,13,21
09600,8,15,38,10,13,18,26,28,29
35439,9,14,23,3,30,35,14,20,50
28044,9,26,44,20,25,42,5,12,30
93911,18,34,35,18,18,25,8,18,23
72234,14,25,28,7,9,26,11,13,21
50503,9,10,34,20,33,42,0,20,28
45713,15,23,31,2,4,13,6,15,36
48601,14,43,62,29,36,44,19,20,43
84785,0,5,14,18,27,27,3,8,12
86480,1,31,39,13,18,29,9,19,25
31605,11,15,16,8,31,40,5,24,26
