uid,count_late_for_work_1m,count_late_for_work_2m,count_late_for_work_3m,count_early_from_work_1m,count_early_from_work_2m,count_early_from_work_3m,count_day_off_1m,count_day_off_2m,count_day_off_3m,count_workdays_weekend_1m,count_workdays_weekend_2m,count_workdays_weekend_3m
13855,5,14,19,1,16,23,6,19,29,2,8,11
82695,8,14,15,14,23,48,13,21,23,0,6,16
27023,11,22,31,17,17,19,15,20,28,0,1,27
97190,6,16,16,7,12,32,6,9,23,4,16,24
61171,5,9,36,28,37,40,7,20,33,6,34,46
35686,1,5,21,8,33,37,19,26,28,6,8,13
78858,7,21,26,6,19,29,10,10,16,16,25,25
43686,25,26,31,16,25,34,22,26,37,25,35,45
19961,18,19,25,4,12,22,10,22,23,15,16,31
18377,8,9,15,27,36,38,16,21,39,9,17,47
80763,1,17,33,9,18,24,9,11,30,13,23,47
38334,6,9,16,8,38,60,17,24,28,28,44,51
50935,2,14,20,26,28,47,6,7,10,4,9,33
22556,19,37,41,2,7,14,14,14,14,0,1,4
38468,19,38,55,11,33,47,4,33,38,0,18,47
42547,10,12,39,15,19,26,10,14,26,13,35,40
76770,21,29,49,5,7,31,1,10,14,8,26,29
19121,6,11,15,12,33,34,17,41,52,10,15,19
83560,13,29,36,18,24,33,14,15,23,27,46,55
09828,4,7,31,3,16,37,17,34,48,7,13,17
68751,1,4,12,3,7,14,23,26,31,6,15,32
50466,0,5,6,3,12,19,17,44,57,18,38,57
39218,18,21,39,10,22,23,12,41,50,17,19,21
44195,11,12,15,3,13,13,5,7,19,9,35,56
28655,7,36,62,14,29,37,17,21,41,29,39,57
67429,13,29,48,4,7,15,2,5,12,13,19,26
59124,1,5,6,7,32,46,7,13,32,6,31,33
19151,7,14,17,8,17,21,20,21,28,11,17,20
10593,11,11,19,6,13,30,11,26,38,2,9,10
58545,6,9,18,1,9,10,5,15,44,3,7,32
79086,21,26,53,11,12,29,3,22,39,11,15,38
28759,9,22,25,1,21,31,16,30,59,6,8,18
89398,17,36,52,15,19,48,21,26,52,4,6,16
33883,19,23,26,5,35,45,15,24,34,3,30,33
69085,16,41,50,6,22,29,4,11,14,9,16,36
61847,4,6,11,6,9,15,27,32,42,4,25,42
55634,4,11,15,24,28,48,16,22,34,3,8,12
24028,11,14,19,20,24,43,18,32,35,19,29,50
53734,26,53,60,13,15,31,4,12,19,0,17,33
37021,10,13,22,1,9,16,4,13,24,2,9,13
41046,26,41,62,18,23,27,10,15,45,0,1,17
43774,28,36,53,6,7,14,19,21,35,20,21,22
39464,1,2,17,8,17,25,11,16,33,9,23,42
52310,10,38,38,4,7,24,2,14,28,20,20,20
08943,2,2,11,13,19,22,9,15,43,0,15,24
02776,19,27,36,10,10,12,13,23,35,20,20,20
65829,0,0,6,5,18,19,1,4,5,4,25,46
53116,23,26,44,29,34,43,14,30,32,3,21,29
93671,6,8,36,8,16,27,10,11,28,25,28,28
13045,0,3,14,0,16,26,9,15,28,5,13,26
47796,5,22,27,4,11,21,4,20,21,16,16,18
11095,9,19,35,10,11,35,20,36,53,6,15,20
24653,4,14,17,9,10,18,3,9,14,18,33,34
04954,2,11,27,19,29,29,5,25,27,11,13,16
02877,5,8,17,6,19,24,19,29,34,8,23,52
78993,5,25,33,1,3,10,23,42,51,9,24,39
31709,10,29,39,9,16,19,13,15,18,22,22,45
59872,0,14,17,19,31,33,2,6,19,2,18,35
86181,6,24,43,1,17,26,22,29,37,3,10,10
97778,5,10,11,5,28,33,17,23,28,30,42,47
92386,6,6,34,10,37,66,10,18,28,8,16,22
12509,3,19,32,11,18,41,8,21,37,6,9,11
72985,4,14,19,13,18,24,9,11,17,1,4,14
43105,10,11,20,10,15,26,1,3,15,6,26,26
36625,0,10,19,3,16,31,10,36,44,19,47,49
86992,9,27,36,10,19,35,4,9,19,11,11,20
89835,0,6,11,9,20,20,2,10,14,10,36,45
25897,22,36,43,9,38,60,1,7,19,0,18,32
19517,9,21,30,15,25,48,8,27,42,3,5,9
35560,27,31,47,12,17,23,2,21,41,19,24,44
67548,0,1,18,3,6,13,13,26,32,21,21,40
73842,15,29,47,9,15,16,9,12,32,20,40,44
43203,9,9,17,27,27,36,1,4,8,10,22,25
55539,3,15,26,2,11,12,12,39,40,11,19,35
38710,22,36,46,8,17,36,8,11,17,19,23,29
53802,11,18,26,1,19,20,9,11,34,21,31,41
39156,14,36,36,3,7,18,18,25,26,11,13,20
29961,3,12,27,1,9,17,4,5,10,17,22,31
93478,22,39,44,2,28,45,7,21,30,25,26,40
88379,15,16,17,5,26,37,5,29,40,7,14,29
39837,9,11,32,1,20,25,4,9,12,13,13,14
45555,2,3,8,7,23,32,18,19,24,19,37,51
85259,9,13,16,17,29,42,23,26,34,19,21,23
79950,6,12,23,5,8,11,5,5,10,21,38,48
58577,13,22,22,2,13,41,28,32,41,8,12,18
64409,9,12,20,13,15,36,20,22,23,12,13,23
35822,14,18,38,9,23,41,4,9,13,18,27,31
54444,4,14,37,16,25,31,4,18,35,3,23,41
49656,2,18,24,22,32,49,7,9,26,1,3,6
07752,2,6,32,5,14,32,22,26,35,19,32,59
45071,23,31,58,6,16,16,1,9,10,11,17,34
55275,9,29,33,13,22,31,20,46,54,15,18,20
83825,2,5,15,18,36,56,9,24,26,5,22,23
82021,15,37,52,18,24,34,19,24,30,7,13,13
28450,12,14,17,5,23,30,8,19,32,3,19,46
20460,10,39,44,7,14,31,11,25,33,1,1,12
66013,19,38,56,7,16,16,19,26,43,23,46,63
32773,7,15,20,1,9,11,10,19,40,5,25,52
73827,10,31,57,15,15,30,6,13,39,5,5,11
37033,13,32,42,17,21,25,5,8,36,12,22,25
59523,16,21,22,4,6,10,24,27,35,2,11,24
27742,2,22,24,9,14,40,29,32,56,15,25,34
93803,7,10,30,1,8,20,9,10,12,7,13,28
24332,10,16,21,7,11,32,24,31,44,19,19,44
87934,0,12,24,19,39,43,6,18,23,9,24,34
53907,9,11,25,25,28,30,2,15,19,4,5,32
66607,19,43,60,2,11,33,9,10,31,14,21,30
37838,29,36,40,7,14,23,14,38,45,3,26,41
87373,21,31,36,5,5,6,12,18,28,1,17,26
07656,20,20,25,10,14,23,7,17,21,7,14,24
77625,9,24,30,14,26,30,17,37,42,11,15,17
32921,28,30,36,0,10,17,7,29,30,25,46,66
25978,7,29,42,14,23,41,12,27,32,18,19,29
98275,24,36,55,3,10,12,0,5,23,18,29,36
67979,10,13,30,3,10,32,4,15,33,8,15,15
43300,7,7,8,9,34,38,2,2,3,9,12,25
51101,4,6,19,30,38,51,24,44,66,0,4,9
01015,0,0,24,20,28,31,2,3,20,2,22,24
14551,7,25,35,7,32,40,6,7,12,7,11,24
89903,7,24,40,15,19,24,26,38,48,29,48,50
77732,8,35,49,0,3,19,17,37,37,6,26,30
94076,5,21,25,6,8,16,13,13,18,0,7,9
34813,10,29,47,12,20,30,6,30,30,2,11,19
57844,9,21,40,19,47,74,2,2,3,5,15,19
43496,6,13,17,3,13,17,18,18,19,1,7,24
79070,18,30,41,9,27,29,2,12,35,29,37,67
34319,3,11,18,20,22,37,5,15,19,21,24,26
