uid,count_late_for_work_1m,count_late_for_work_2m,count_late_for_work_3m,count_early_from_work_1m,count_early_from_work_2m,count_early_from_work_3m,count_day_off_1m,count_day_off_2m,count_day_off_3m
11074,9,11,15,8,13,26,3,3,14
07653,0,11,12,8,26,39,3,17,21
90432,9,20,21,0,17,34,22,32,41
98198,2,2,22,7,15,16,1,8,12
17898,10,15,24,10,34,49,15,22,49
84992,8,30,41,7,35,37,25,50,66
98072,17,23,28,15,27,30,19,28,29
83135,9,16,30,1,9,23,8,14,23
75004,9,28,36,6,10,12,13,19,29
97111,24,28,46,6,13,17,19,24,24
71662,2,2,16,6,6,16,8,19,33
06322,6,15,36,5,20,20,15,17,38
54736,8,20,34,2,9,17,4,13,22
47428,12,27,28,12,30,32,15,20,26
41819,3,14,44,6,14,27,2,24,27
62486,3,13,28,7,17,21,23,34,41
58101,9,14,18,6,31,37,29,48,49
78930,9,17,25,6,12,23,9,9,14
28660,14,40,41,28,32,62,25,32,40
86820,4,12,38,6,16,23,10,18,23
05788,3,10,18,27,28,35,17,28,30
74424,10,15,31,19,25,29,13,28,36
98990,19,38,58,20,22,30,18,36,39
33411,29,48,64,5,31,33,10,14,29
79318,2,8,12,9,14,18,11,14,18
63699,28,38,65,30,50,59,10,26,28
76136,14,18,42,7,9,17,26,26,36
61277,5,24,41,3,6,19,3,4,4
89171,10,13,27,10,31,56,9,35,42
64514,9,9,17,5,5,16,16,30,44
41392,26,29,35,8,16,23,28,41,42
16187,3,25,35,16,27,29,16,23,28
88568,19,36,36,6,6,16,9,24,37
23802,24,29,39,3,12,13,5,10,20
87945,4,5,16,12,29,48,6,10,32
74857,13,22,27,6,6,6,0,9,16
37684,19,36,36,8,33,46,1,2,26
11468,5,12,13,6,14,23,18,33,40
03129,5,5,34,19,26,26,2,6,7
42824,8,10,30,10,12,21,8,24,27
34317,19,31,36,9,22,24,3,21,27
99561,16,25,39,2,5,14,4,7,29
25249,5,16,25,12,39,51,7,20,22
26417,7,16,16,4,22,33,19,19,19
83913,7,8,25,28,32,39,6,7,8
75302,17,24,27,10,15,34,5,7,8
46719,8,11,27,27,37,49,25,28,50
67486,8,16,17,16,20,31,9,19,35
63810,18,31,39,12,15,17,12,12,17
00708,4,11,15,4,13,41,7,10,33
14906,16,44,56,9,24,38,14,34,38
13175,5,11,23,2,13,28,7,17,18
65099,8,12,22,19,22,40,2,26,27
18824,17,33,36,12,12,30,5,18,23
30298,0,3,12,28,29,35,3,7,11
05376,23,40,43,11,21,22,3,7,9
01718,2,2,10,14,24,34,1,1,3
01899,9,15,25,5,9,36,8,15,31
60143,30,31,46,8,16,26,10,34,39
71363,2,3,29,18,21,25,14,21,27
85607,5,35,36,4,31,56,16,22,40
73201,13,13,20,1,17,23,30,33,61
18461,6,12,18,0,3,11,16,20,46
46348,26,34,57,6,12,27,1,4,34
15685,4,20,27,12,17,28,1,5,32
90479,10,17,31,26,44,46,0,16,22
31077,17,23,29,18,25,27,27,39,45
81933,3,26,36,10,23,42,6,18,21
75055,4,27,46,12,19,21,4,22,26
21525,8,17,18,27,41,42,7,19,39
60995,28,31,34,30,36,48,7,27,42
77682,5,28,58,9,19,23,8,23,28
11256,1,24,33,0,2,27,4,18,33
95098,15,34,48,2,9,25,12,17,24
36435,7,14,18,17,20,36,28,50,51
90861,8,8,18,4,33,33,7,9,24
97656,16,18,37,5,24,39,8,16,33
61411,0,14,34,0,2,22,1,9,9
11496,8,28,37,18,38,56,23,52,59
76123,28,28,47,16,18,39,1,17,29
48058,14,18,34,0,7,15,0,15,35
25217,20,24,31,29,38,41,8,10,28
31019,26,33,47,30,53,68,8,14,22
03366,2,12,37,7,8,13,2,9,10
41973,0,7,12,20,23,49,2,8,14
69796,7,24,34,15,26,29,27,40,58
26881,26,36,37,8,15,35,8,13,17
97035,8,36,39,5,28,34,19,48,57
37364,3,8,8,29,33,35,10,11,17
85988,16,22,26,2,5,22,25,41,47
33471,19,22,41,15,16,19,5,25,34
58303,1,13,19,0,7,12,10,16,32
96412,6,7,8,8,12,20,0,26,27
17119,24,33,63,26,39,58,0,18,23
63012,11,30,42,0,2,13,0,9,21
52534,6,16,44,24,24,33,30,41,46
05278,9,19,31,4,5,21,3,3,13
49823,2,4,7,9,15,15,10,26,32
98868,13,40,48,19,38,50,15,24,35
76593,8,10,25,23,24,29,2,6,6
45194,3,14,30,10,21,47,20,24,36
39435,9,15,23,3,8,15,5,8,17
78274,23,43,53,6,12,37,26,32,41
33950,25,43,46,2,22,27,0,14,19
42735,18,19,48,4,14,37,13,33,44
20142,0,11,34,29,30,38,9,19,19
24678,1,9,31,9,18,30,8,15,19
09183,13,14,21,22,32,37,10,29,38
60801,3,12,18,1,20,23,4,13,33
98848,9,9,17,6,22,39,8,19,34
70328,9,17,21,8,13,29,27,47,68
73193,5,9,25,10,28,55,17,33,43
36373,7,24,40,8,34,44,8,33,36
99018,8,26,29,9,37,38,18,19,37
32323,15,24,45,10,30,48,20,26,35
80706,25,30,50,7,9,12,9,18,21
24900,4,8,17,4,4,10,0,24,31
27364,18,32,38,11,21,32,18,35,35
55381,28,48,68,7,16,30,9,21,38
95382,16,27,36,6,6,11,2,5,19
96884,8,17,19,4,31,33,20,25,42
27140,5,8,13,7,34,34,14,30,36
40074,8,19,49,6,35,37,10,20,30
19413,5,19,36,4,9,10,16,22,28
61315,0,20,29,18,19,40,4,16,19
06187,1,3,24,2,2,20,6,15,15
83782,0,1,6,1,6,36,0,8,12
66728,8,12,39,6,22,30,3,10,22
64210,26,27,45,2,18,20,6,6,24
59201,0,6,29,3,3,13,0,17,27
94431,5,9,12,5,24,29,3,13,16
93433,28,29,36,4,11,15,0,1,2
08972,7,15,19,10,10,26,6,16,34
32162,20,49,59,3,4,8,10,17,22
25020,7,20,23,3,3,16,17,40,41
19897,6,11,11,7,22,35,29,38,39
56117,13,23,35,7,16,31,11,31,50
59276,10,29,29,3,3,4,23,26,41
73008,12,21,27,18,38,38,4,8,8
45641,8,11,17,7,26,31,5,21,21
05243,2,4,21,5,16,25,7,14,31
04914,0,1,1,17,35,36,17,25,28
45188,4,4,15,9,17,42,9,10,34
58950,4,15,37,8,18,18,1,21,42
68682,8,24,26,1,12,13,1,2,20
78524,30,43,51,20,21,38,11,20,20
55805,6,9,17,22,32,50,28,29,29
36118,28,54,57,6,18,25,19,25,32
91524,30,30,49,9,19,21,17,43,63
60330,9,15,29,14,19,45,30,50,50
16319,23,38,42,14,20,25,10,29,30
97358,4,10,16,5,8,14,12,39,52
28582,8,34,39,4,7,12,30,41,51
45160,9,14,41,12,17,18,20,42,62
42108,5,33,35,30,36,47,8,12,17
89121,2,6,14,11,26,26,10,24,43
17698,2,2,32,5,7,15,7,14,15
38358,8,11,12,22,36,59,9,15,22
61773,0,3,8,19,24,30,18,24,39
48999,4,6,22,26,54,58,0,26,26
09252,1,3,6,20,38,60,9,26,38
64080,15,17,19,24,33,45,0,0,2
59491,6,11,11,8,20,21,11,13,28
01553,20,43,61,17,22,23,4,20,31
93284,7,12,36,25,47,49,9,14,18
95259,11,29,36,15,27,28,0,11,20
78512,1,13,28,1,4,11,9,21,41
63502,8,34,39,17,23,46,8,22,24
81816,4,16,36,10,20,26,11,17,18
67992,17,39,64,18,42,45,14,14,14
70968,16,19,25,13,21,38,6,18,28
71755,3,4,17,1,5,9,21,26,45
82405,0,1,1,9,15,16,7,30,34
80792,11,17,22,1,25,33,11,17,46
84328,8,21,21,8,17,21,6,24,47
67264,15,18,35,9,11,15,1,1,1
39725,3,9,18,7,17,19,19,40,49
09734,19,45,54,20,30,48,7,15,21
47460,5,29,29,9,15,19,10,29,45
15147,4,10,12,15,22,42,13,15,19
