uid,count_late_for_work_1m,count_late_for_work_2m,count_late_for_work_3m,count_early_from_work_1m,count_early_from_work_2m,count_early_from_work_3m,count_day_off_1m,count_day_off_2m,count_day_off_3m
26926,21,33,36,4,4,5,0,13,15
11228,25,25,35,29,31,35,2,17,39
83956,3,4,4,25,28,32,4,7,10
93482,8,19,29,2,7,28,0,19,37
38671,4,17,26,26,30,52,0,13,24
60269,7,16,17,2,14,17,0,6,15
02810,13,16,21,20,49,55,1,15,33
24253,4,20,25,5,18,18,11,14,35
11265,1,19,32,5,11,17,2,3,13
29402,17,22,23,2,31,53,17,31,38
78017,20,22,40,29,45,49,0,8,10
60289,4,7,31,17,18,43,21,44,50
05013,16,31,33,21,24,31,10,23,33
78920,6,8,23,29,30,37,13,43,51
75692,15,25,33,2,4,22,8,24,25
29155,17,27,36,29,34,42,28,37,59
37306,8,10,33,16,25,50,10,11,13
43971,27,53,62,18,25,51,3,14,34
88833,16,26,36,2,6,13,14,32,32
02912,8,24,33,4,8,28,1,9,26
25856,11,14,15,1,9,16,10,10,19
97251,0,4,22,19,43,46,12,42,59
36162,14,17,23,1,11,14,22,46,70
78898,10,10,23,6,7,8,9,10,20
58779,2,5,35,11,17,30,10,16,16
92841,12,21,29,11,17,30,6,22,45
77573,26,28,29,9,28,46,7,7,11
04945,9,20,48,3,5,16,12,24,52
18508,5,18,19,0,0,23,2,18,24
42870,5,9,23,19,20,21,3,22,25
77925,20,24,26,3,3,5,7,19,27
08454,11,13,43,4,14,25,19,30,32
88609,26,38,39,8,17,33,17,32,35
24077,6,21,22,7,12,32,1,11,15
40455,3,9,13,8,29,34,20,28,54
68062,0,30,30,6,8,34,1,2,13
82835,4,5,12,0,14,14,1,29,34
02958,29,40,40,7,31,34,7,20,27
03605,19,41,57,0,15,25,19,25,37
84688,22,32,43,30,40,59,3,16,16
65416,0,1,8,9,10,34,6,19,29
84518,10,33,44,17,19,20,8,9,9
24544,22,29,38,5,9,10,10,19,27
60480,16,16,22,2,24,30,19,27,33
94899,3,6,7,2,15,30,19,37,41
81484,29,35,38,18,26,33,30,31,35
63249,28,31,61,6,15,20,23,39,49
88647,22,31,34,12,14,34,10,20,23
58194,4,24,46,21,21,29,10,27,36
08740,17,32,50,10,25,26,4,5,10
68196,8,32,35,3,33,38,5,12,16
95889,9,34,34,16,19,31,17,23,53
76142,17,21,24,22,42,62,2,12,25
85047,19,38,51,3,27,54,22,42,55
64087,8,13,19,26,31,35,1,3,13
18635,24,34,46,3,6,26,6,18,18
27134,12,18,31,12,19,46,1,26,56
83165,1,11,21,3,16,43,23,27,29
03414,2,8,16,0,5,6,4,24,39
59869,27,27,54,22,35,43,3,12,14
78178,1,19,29,5,21,29,9,25,26
01845,26,56,57,1,2,4,11,13,13
14542,10,12,27,8,10,14,19,37,45
