uid,count_late_for_work_1m,count_late_for_work_2m,count_late_for_work_3m,count_early_from_work_1m,count_early_from_work_2m,count_early_from_work_3m,count_day_off_1m,count_day_off_2m,count_day_off_3m
59156,5,5,6,0,1,4,9,33,42
80547,0,0,9,6,9,15,5,9,15
35263,1,14,17,4,13,19,13,22,42
71219,7,37,42,2,3,11,25,30,45
18222,0,8,30,28,37,48,10,30,32
67689,9,29,40,1,3,19,6,9,19
01913,6,8,16,11,14,21,4,24,31
33413,2,10,10,11,12,35,10,15,17
00564,16,18,20,9,15,32,25,55,63
73294,1,11,19,11,15,20,11,39,56
85155,25,27,27,6,11,17,2,12,14
69060,8,16,16,16,25,25,5,7,26
74930,11,14,38,6,18,21,14,24,24
12733,6,15,39,5,29,51,0,6,35
61983,13,21,23,1,7,7,4,12,23
53583,13,24,50,14,14,16,30,35,39
69720,26,29,39,1,6,20,1,20,31
95231,2,10,19,25,28,31,5,18,48
58987,3,23,32,4,6,12,8,25,25
75538,8,19,23,10,21,24,6,11,23
49238,3,9,27,1,1,18,4,4,10
51469,10,28,29,6,20,27,15,22,23
58953,20,28,45,1,9,25,10,14,36
93114,5,7,12,15,41,58,23,27,52
16740,11,20,20,27,38,66,2,32,51
23242,19,19,34,7,34,34,12,18,23
54345,0,25,34,30,42,43,19,19,32
59484,11,32,53,10,19,25,24,27,53
90572,10,32,39,20,32,53,9,14,23
50004,11,29,48,12,36,55,0,14,17
25191,28,36,37,19,28,38,20,33,56
56703,8,17,21,12,27,37,1,6,22
85997,5,12,14,6,24,48,17,22,27
68834,10,33,48,7,17,32,4,32,54
50518,11,35,41,3,7,9,27,38,44
19635,6,7,25,8,9,23,2,10,16
51915,2,9,26,9,18,24,6,31,37
82512,5,32,41,7,16,37,14,22,25
37342,9,24,46,2,3,3,7,36,46
53340,2,8,18,8,11,18,18,23,24
22903,7,29,34,7,13,24,10,10,37
04015,27,27,47,10,16,21,0,30,42
07644,9,38,49,6,27,39,7,23,44
86742,19,38,38,4,11,21,3,21,41
21811,8,13,22,2,2,2,0,4,14
23268,15,22,43,10,30,47,15,20,35
19680,5,10,18,1,20,35,4,26,27
87978,8,8,26,4,7,13,5,8,14
60651,18,24,49,3,15,32,3,10,29
90769,19,27,40,18,22,22,10,32,51
67381,18,22,30,10,28,32,6,26,27
81974,7,25,47,6,6,11,2,4,6
69145,18,25,34,20,42,59,7,21,44
