uid,count_late_for_work_1m,count_late_for_work_2m,count_late_for_work_3m,count_early_from_work_1m,count_early_from_work_2m,count_early_from_work_3m,count_day_off_1m,count_day_off_2m,count_day_off_3m
70698,19,21,36,1,21,39,30,34,41
31595,7,11,12,10,23,37,9,18,28
22676,25,30,46,1,17,25,20,46,49
47976,7,13,22,5,24,35,15,25,26
04363,19,35,58,8,18,27,3,9,18
97182,13,23,33,18,34,36,12,25,28
39884,2,11,12,9,14,27,10,25,40
62016,14,28,53,1,1,23,1,8,32
62715,4,13,36,20,23,33,8,22,23
79033,20,26,44,7,20,30,8,9,15
81372,28,36,39,9,18,28,1,7,18
14049,11,19,28,8,34,38,30,40,67
60190,2,7,9,17,31,49,24,28,41
17120,18,27,35,1,6,11,6,21,42
25331,4,17,20,3,16,42,5,14,21
76506,5,14,26,10,11,19,8,15,43
46795,20,30,42,18,24,24,9,27,31
54309,25,29,30,12,25,25,3,13,16
39784,20,27,57,2,11,27,12,16,16
27277,1,28,43,9,20,23,8,22,22
53880,5,21,47,9,23,33,8,34,41
33221,2,7,32,3,4,4,9,11,21
59143,23,40,47,18,28,29,4,8,9
61975,10,13,19,23,32,37,16,35,38
60781,2,8,9,1,20,30,3,12,14
62943,9,11,19,4,20,32,0,20,26
61340,0,12,14,1,20,29,17,21,29
04488,8,25,26,8,11,13,14,15,26
11561,3,10,12,9,32,39,6,32,42
17702,11,20,36,8,20,36,7,9,18
85447,5,23,29,0,13,22,30,58,82
34419,13,23,26,19,29,59,11,11,31
59849,4,12,39,10,19,27,6,15,24
94444,24,26,31,5,8,26,2,12,32
93620,9,11,14,13,23,28,8,20,24
21557,3,19,49,9,19,19,3,19,28
06624,28,38,50,2,2,5,5,33,45
71256,20,22,32,10,16,21,4,4,10
79346,8,18,33,10,11,20,10,17,26
26017,14,20,30,28,37,44,9,13,33
61147,5,5,5,3,8,16,1,9,23
32769,13,33,50,25,42,50,10,10,27
83544,2,10,19,8,16,21,4,11,12
89969,15,26,30,9,15,43,16,37,42
09741,10,21,22,6,12,14,11,24,48
25505,1,11,14,20,37,61,6,12,26
85212,3,8,14,3,17,25,5,22,31
50977,26,47,65,22,38,44,23,49,64
14896,3,30,32,25,43,43,11,19,37
78064,4,7,10,26,31,54,10,32,49
21848,16,18,19,0,29,43,4,9,22
91234,12,18,19,7,8,17,2,11,12
23379,3,10,20,30,30,49,9,11,29
65967,15,22,27,8,25,39,3,12,23
54256,16,21,28,29,38,47,8,29,30
20057,4,23,43,18,18,34,8,22,25
86124,17,18,33,5,14,23,23,28,37
78312,8,14,19,3,14,20,6,23,23
35328,6,8,12,5,8,13,6,9,18
30030,9,33,39,9,14,31,12,15,33
01500,5,5,9,10,17,24,18,26,31
95589,4,9,12,10,26,52,2,7,32
26483,1,2,21,15,45,56,0,4,7
45949,14,35,43,1,3,19,10,25,38
87704,21,46,69,4,6,6,2,4,10
34367,19,37,37,28,56,65,6,10,14
07681,10,32,37,12,18,23,13,27,50
11989,26,28,49,2,6,19,7,37,42
11757,13,18,28,13,21,33,0,28,35
53704,2,31,52,19,45,49,17,22,32
31970,13,19,27,2,5,13,10,15,23
09673,15,22,29,2,4,25,10,33,36
68963,19,26,26,7,8,28,5,5,22
69972,3,4,6,7,12,30,14,21,28
68436,8,23,25,7,14,17,15,27,41
66265,8,34,38,9,22,31,0,6,15
27635,8,12,16,20,23,50,22,50,62
51381,9,13,14,5,6,8,9,25,35
43360,13,14,22,7,13,22,3,4,14
15624,5,11,21,11,24,41,4,23,40
95466,19,27,33,28,33,45,10,24,29
93442,12,23,38,8,9,12,7,14,29
53272,27,36,50,2,6,6,30,41,67
51568,10,35,43,10,13,23,4,9,12
29079,28,38,48,7,10,36,28,45,49
20613,6,7,18,5,17,45,9,25,36
55503,8,14,34,15,24,49,2,9,23
82243,18,20,29,0,2,6,0,2,9
58658,14,17,47,1,7,13,17,37,45
36108,17,32,41,6,9,20,20,20,21
83182,3,8,20,5,10,16,7,8,12
84588,7,13,33,0,5,13,11,16,36
98059,8,12,17,8,23,28,10,12,15
87503,2,21,30,15,20,23,4,6,8
27683,7,21,31,7,17,32,3,6,26
37993,3,8,20,16,26,40,19,49,62
36464,8,28,37,0,20,24,8,18,23
71615,6,18,23,8,11,31,19,25,32
18245,8,15,33,6,17,19,13,35,39
52527,14,14,22,2,32,38,14,34,44
55682,6,20,27,1,8,12,5,13,22
79518,7,14,26,3,29,35,8,9,24
00003,3,4,4,16,16,21,3,10,14
67442,17,36,62,8,32,32,13,17,44
72080,14,23,30,3,9,17,27,39,49
01429,12,22,41,2,30,50,1,21,25
45885,23,30,39,0,29,30,4,6,6
17875,8,11,25,8,24,46,14,24,28
21609,16,21,28,30,50,70,7,22,30
54424,16,35,38,3,24,51,3,4,11
78440,2,22,22,14,23,31,10,12,12
40057,15,20,37,11,27,42,11,25,30
42243,6,18,19,17,22,24,9,39,42
22083,0,10,20,0,4,8,8,28,37
02177,20,21,32,14,32,34,1,14,26
06868,0,14,18,7,13,19,1,3,3
05359,7,37,61,1,8,31,18,34,39
83747,19,21,21,20,35,47,9,13,19
61300,13,20,43,18,29,29,7,14,22
57078,18,22,24,17,42,48,2,8,15
19665,2,20,29,6,15,18,5,18,18
70844,4,21,30,16,19,23,2,20,30
72889,9,38,40,4,4,13,9,10,18
24583,26,31,46,0,9,17,12,14,20
04387,11,30,60,15,26,40,0,1,13
27611,4,26,38,11,26,32,13,23,32
62618,11,33,53,2,10,10,5,15,32
35660,2,8,24,13,21,29,16,20,29
50053,0,4,9,17,28,36,3,21,34
27932,11,11,18,0,17,23,9,9,26
07111,4,21,23,8,10,20,10,33,35
79179,16,35,42,11,19,20,8,16,33
22521,9,12,40,8,16,17,6,32,40
71254,3,23,28,1,18,28,6,15,35
71717,22,23,26,11,12,13,8,16,23
69969,15,17,31,18,22,33,18,29,52
93968,6,13,14,1,13,14,4,4,8
78133,11,12,21,5,26,29,4,33,39
39435,17,34,42,9,11,17,20,22,33
09890,4,12,33,9,30,30,7,15,24
88319,3,5,30,8,17,26,1,5,15
74530,7,12,32,5,10,32,10,37,51
52018,16,30,33,25,32,51,1,2,9
83230,7,14,30,3,3,23,5,31,33
30599,10,19,27,4,4,12,10,16,18
29528,3,13,13,3,21,36,3,12,17
04477,7,26,43,15,19,19,9,25,33
64447,2,7,12,5,33,37,13,38,42
29424,0,15,27,3,10,19,10,16,22
64615,1,2,14,16,19,25,9,24,27
69955,12,12,19,5,11,11,7,10,27
90275,25,40,70,5,18,31,8,22,31
16756,10,19,31,1,9,24,29,46,71
53521,17,47,55,5,17,37,7,9,34
62201,3,12,41,16,16,31,0,0,17
17431,7,13,25,5,15,32,8,10,29
84868,16,37,51,3,7,8,3,8,10
18327,7,18,46,19,25,30,11,27,35
44889,1,15,23,26,37,38,1,7,12
65402,15,27,46,8,11,27,26,32,45
78368,15,23,32,0,24,42,6,22,35
32389,29,30,37,8,8,20,12,40,43
61831,1,9,13,12,16,25,16,20,48
50411,14,27,29,3,19,32,14,35,36
97666,7,24,46,16,36,39,6,13,17
19696,10,31,51,30,50,55,12,14,39
33646,5,5,31,1,21,28,0,20,26
20060,22,23,46,9,9,32,0,2,9
09166,2,2,12,12,22,26,9,17,30
95476,2,10,27,7,27,37,28,49,51
57056,0,10,16,17,33,34,9,17,18
35866,9,21,51,10,20,21,24,26,35
