uid,count_late_for_work_1m,count_late_for_work_2m,count_late_for_work_3m,count_early_from_work_1m,count_early_from_work_2m,count_early_from_work_3m,count_day_off_1m,count_day_off_2m,count_day_off_3m
72675,3,5,23,3,15,34,28,36,39
12688,10,26,47,19,23,41,5,22,37
62790,27,28,40,19,23,30,19,19,19
44973,25,54,63,3,16,22,18,36,55
98166,1,3,8,9,10,14,11,19,20
70804,0,2,7,24,32,38,10,18,35
68048,5,25,45,9,13,18,18,41,63
29242,29,36,59,11,30,38,2,16,23
44313,19,21,27,10,13,16,6,6,6
82612,16,21,31,3,10,13,25,29,29
79102,4,23,33,0,7,12,6,7,10
49140,1,10,30,14,20,30,14,34,48
79131,3,5,15,5,19,24,6,17,37
05237,19,27,57,1,3,13,7,8,14
25366,12,17,34,7,11,16,7,32,42
58040,0,28,38,2,9,30,2,16,26
59766,10,14,18,27,35,44,6,12,30
67573,20,34,39,9,11,13,3,11,36
86295,6,25,32,8,8,23,10,11,14
37763,21,34,53,14,20,24,0,16,16
38414,2,9,15,28,44,72,23,45,59
85965,10,18,22,3,12,24,20,46,49
51581,0,1,7,5,9,18,1,7,24
67017,18,32,61,21,30,48,27,39,39
19315,0,5,5,13,43,49,3,23,42
86895,18,22,29,2,10,15,10,23,28
75321,2,5,8,8,30,33,4,10,12
15919,13,24,26,26,36,48,13,21,31
65438,2,13,15,4,12,23,16,17,33
76222,3,24,54,5,21,30,19,20,28
42737,2,13,18,0,27,50,7,15,22
51919,6,24,54,8,9,28,21,29,35
21205,5,8,14,21,25,47,2,9,18
23342,20,35,49,7,12,13,10,10,12
55067,15,45,69,18,19,28,6,12,31
08962,15,33,40,0,1,1,21,30,37
89791,7,11,19,5,13,14,15,15,33
98714,7,15,20,0,4,9,11,20,22
27242,2,6,6,9,10,12,6,8,19
64813,1,16,26,10,18,19,15,29,30
76874,1,4,8,6,13,19,6,25,43
83981,8,10,25,1,16,19,19,34,52
60004,11,22,24,2,2,30,1,21,24
11888,1,2,17,28,37,39,18,45,53
50165,8,13,17,16,28,45,16,40,57
40217,11,19,32,3,15,25,3,6,8
20274,27,50,59,18,36,60,6,27,37
08648,7,7,24,20,28,33,1,1,6
75161,20,22,40,8,13,27,8,9,12
77545,10,23,25,6,21,37,15,33,36
29292,8,12,18,20,27,30,6,14,20
36661,17,18,18,17,32,57,0,5,6
15832,24,30,34,5,7,10,26,55,64
59884,7,13,19,18,22,32,2,23,33
79511,7,8,16,3,33,41,1,2,20
81806,6,14,17,0,0,0,4,30,36
93845,23,24,35,5,11,25,15,32,47
31996,22,27,47,5,33,59,18,24,24
42821,19,30,39,23,41,51,21,29,29
74861,8,18,20,0,25,39,9,11,19
25577,14,23,38,5,16,19,7,10,37
16180,20,26,56,8,38,45,5,5,20
89094,27,32,58,13,13,28,2,3,13
64240,24,46,69,2,19,37,25,29,39
00840,22,22,35,9,13,18,15,17,44
44044,17,27,38,8,15,24,17,19,20
20972,18,26,29,4,17,24,11,19,44
28736,2,2,6,0,5,15,9,9,24
83889,28,50,60,7,13,17,13,17,22
63272,8,18,33,24,28,32,6,28,34
71436,3,7,15,17,30,35,14,28,30
21056,30,35,36,20,47,57,15,23,43
84173,3,12,17,16,17,23,5,35,36
41420,1,4,11,9,23,39,7,11,11
99105,20,49,76,3,10,17,26,30,33
01458,17,24,29,10,23,26,6,22,42
99535,10,14,35,1,5,33,10,16,17
16110,4,10,23,10,17,27,7,15,29
66596,3,10,15,8,17,33,0,1,3
52313,8,11,29,10,11,22,20,42,59
39314,19,33,42,0,11,20,3,4,23
44487,8,18,35,17,23,27,3,14,26
39870,9,10,15,11,27,39,15,29,45
19497,16,22,32,18,21,32,5,7,8
39440,7,15,30,3,10,40,7,13,14
60777,5,5,30,8,18,24,3,33,49
86839,9,11,16,8,29,40,30,47,47
50801,5,5,24,1,21,47,1,14,24
66788,23,24,27,18,21,43,13,19,20
84692,10,17,43,7,24,49,0,6,20
71941,10,19,19,2,4,24,25,29,37
53818,16,17,27,6,15,45,4,4,15
84927,23,33,33,11,16,19,3,7,7
30371,0,4,18,30,40,60,14,35,53
41523,20,30,39,8,24,25,7,7,35
74555,4,14,17,10,10,12,10,16,38
68720,9,33,35,17,26,53,4,5,17
86469,1,10,10,30,48,51,3,5,8
48084,4,11,14,2,6,14,26,32,40
97125,15,25,34,13,23,30,4,18,38
87990,7,13,35,6,7,12,18,19,21
41425,28,31,31,10,22,26,20,25,34
55746,9,14,20,3,8,12,0,1,3
82639,21,27,44,4,21,27,7,16,23
17941,6,12,29,26,31,31,0,1,3
18099,20,26,32,16,35,44,9,17,17
60065,0,16,19,8,18,19,12,17,24
13902,11,11,21,5,10,19,1,1,2
62413,16,16,19,3,3,11,0,2,4
11682,10,10,17,8,10,16,13,23,43
45411,6,8,16,9,22,23,2,5,11
23300,26,31,48,14,29,37,5,6,18
62561,8,25,28,23,24,32,9,27,46
17547,0,10,20,15,21,25,14,15,21
21713,17,28,31,6,30,42,22,32,32
55327,10,13,37,8,16,18,2,5,20
08839,4,21,23,3,13,23,9,14,21
49073,15,15,25,0,8,21,4,11,17
64753,2,28,28,0,6,21,5,15,30
99756,14,14,23,1,8,23,5,8,12
97423,2,8,14,7,12,19,5,23,23
06740,1,1,7,11,20,24,8,28,34
88021,3,12,40,17,18,25,9,10,22
93119,12,26,43,7,12,13,6,24,27
35441,25,30,31,0,8,19,1,10,22
80928,3,11,20,1,10,14,1,11,25
58800,20,26,35,5,17,20,6,13,17
38040,1,8,17,6,7,15,15,19,25
44089,0,11,12,8,25,26,0,4,10
96768,8,30,35,5,12,15,21,47,64
01061,25,29,37,16,16,22,15,25,29
18707,3,16,21,0,15,22,7,8,34
84568,5,24,36,9,21,37,4,6,16
05225,2,24,25,2,24,41,10,18,28
06089,4,5,7,9,12,35,15,22,42
39718,7,12,18,15,32,35,9,19,34
96952,25,55,59,3,3,15,21,26,34
00468,10,17,37,1,10,23,25,27,40
52892,11,17,19,23,31,33,12,17,33
65815,9,9,29,8,37,45,8,13,19
68818,11,16,30,2,18,33,12,24,32
91319,14,21,38,17,24,38,14,16,21
56628,16,25,34,18,38,54,10,12,17
88512,4,25,35,29,33,35,8,10,17
98864,7,10,18,1,4,6,26,31,33
27986,12,20,22,2,2,4,15,22,40
32817,6,23,33,19,27,28,21,27,38
17837,7,8,10,19,29,35,14,15,18
13431,5,5,12,13,22,26,13,22,45
59473,5,6,23,17,27,31,10,33,45
01745,10,11,13,12,12,18,30,57,64
68352,6,12,22,16,17,28,24,31,32
74665,7,36,43,2,9,30,27,53,61
33396,27,29,33,10,36,50,2,12,15
68723,2,3,4,14,22,25,3,32,49
12757,7,9,9,4,20,24,3,4,5
36560,11,11,14,6,17,25,13,32,42
91397,2,23,38,8,28,35,1,4,9
53957,11,11,22,10,30,31,6,15,18
95529,19,22,35,4,8,10,7,15,30
49432,11,25,39,6,34,43,3,26,29
46909,22,26,35,7,14,15,27,33,35
40257,7,15,34,13,14,20,2,19,26
25748,5,23,40,15,18,26,11,11,18
26913,30,45,63,3,5,12,23,48,61
81379,4,28,48,12,24,50,22,32,48
19334,10,25,37,14,23,29,11,26,50
37264,1,20,25,9,16,32,5,11,33
42212,12,28,29,19,27,29,0,21,26
87137,13,33,45,17,30,52,16,21,22
10068,3,20,25,2,15,29,23,27,54
11558,12,12,17,6,19,25,5,7,25
86318,20,21,24,0,11,22,2,5,34
70375,10,23,27,13,19,41,10,21,28
06539,1,9,29,14,24,40,7,17,26
24138,7,8,27,1,11,39,8,32,33
94145,5,13,14,29,45,54,5,26,36
00405,8,16,20,6,28,32,7,8,18
11087,6,23,35,10,16,19,18,30,42
67755,8,10,27,20,26,32,18,30,36
96044,2,21,27,1,23,43,8,17,18
66794,6,19,28,17,27,39,21,33,39
42807,16,22,30,27,43,52,1,11,14
61959,4,33,38,8,12,29,3,15,17
38503,29,33,37,3,23,33,0,20,40
07439,1,26,34,4,30,50,0,17,31
91041,5,8,14,2,8,8,7,12,18
64443,3,23,36,4,33,42,18,19,26
46409,13,34,38,22,25,26,20,39,39
46359,14,36,41,6,21,30,8,30,37
00717,12,30,45,7,31,40,1,24,54
45679,10,10,40,3,14,23,12,27,29
13544,0,9,13,6,6,19,12,29,34
37667,10,36,41,20,40,42,3,7,19
54900,7,8,17,10,20,46,13,14,14
61500,3,19,19,5,9,26,17,27,43
78355,15,21,23,4,9,11,2,21,28
63392,16,35,42,2,17,22,7,32,33
65677,12,13,27,10,15,32,18,40,40
01914,21,29,37,12,20,31,1,3,4
90644,20,50,51,24,36,52,9,18,25
08195,13,15,21,2,11,23,12,12,39
95331,1,14,14,5,14,26,11,14,26
19810,3,21,26,2,22,41,15,17,24
61961,29,58,63,3,16,17,21,23,27
74957,9,15,29,21,34,42,2,6,12
65710,9,24,35,7,12,29,4,8,27
29864,12,17,33,7,16,25,3,4,4
72822,1,18,21,0,9,9,5,11,19
56626,2,4,8,9,13,21,4,19,29
72433,8,34,41,1,18,36,13,43,52
81905,11,17,39,3,27,35,9,22,31
41543,9,16,19,8,22,24,11,18,38
47370,7,10,15,10,21,35,8,22,27
91641,16,43,52,5,34,44,9,15,31
44187,16,25,27,19,29,36,10,25,45
27512,0,2,21,6,14,31,10,17,30
01038,8,28,43,17,33,42,13,16,16
28462,10,12,16,5,7,13,6,6,7
74131,0,21,34,16,39,57,30,33,40
00617,6,15,24,1,27,29,4,12,31
74168,1,13,16,19,29,38,9,34,41
56217,0,14,27,10,20,28,0,2,19
70150,7,18,30,4,6,17,3,14,15
38064,20,41,62,3,18,18,5,13,28
52338,28,29,35,4,24,24,14,21,50
35375,4,27,45,6,20,24,6,15,16
51506,5,13,17,5,5,8,2,21,44
66074,0,1,1,0,22,29,11,21,28
41867,11,29,56,2,30,40,16,24,43
70387,8,14,23,0,18,32,8,19,23
28337,2,24,46,27,37,44,13,18,29
85426,19,19,19,8,10,24,18,19,34
17114,16,19,32,20,20,23,27,33,41
00102,22,33,37,3,4,14,1,16,33
47464,14,21,24,7,10,32,20,31,38
68358,13,34,53,20,34,36,5,6,35
78763,21,21,31,8,12,29,16,16,28
53686,11,12,38,2,5,7,7,8,18
72160,7,17,31,5,18,37,11,18,36
14826,2,8,8,14,33,40,7,9,20
48436,8,17,40,11,18,21,3,4,13
21621,26,37,44,11,14,19,30,40,43
07593,2,18,18,27,32,39,19,20,28
19592,17,27,35,7,27,35,14,44,48
29147,9,12,15,1,7,23,10,38,56
46421,3,13,14,6,9,27,2,15,25
69413,28,37,57,12,26,40,8,16,31
72782,9,12,14,20,30,49,3,27,33
87221,7,13,32,17,23,33,4,9,23
68772,5,15,30,17,17,18,9,11,20
26934,12,21,27,28,37,43,19,36,41
42858,6,11,33,4,25,33,3,18,37
63776,16,27,34,6,12,21,3,9,29
44616,19,26,33,0,10,11,8,16,17
38942,0,17,19,0,8,26,8,11,17
81499,4,11,15,20,21,33,11,27,30
68434,9,31,33,7,10,12,4,10,24
28534,14,26,40,16,29,33,21,34,44
37298,7,17,33,14,28,31,0,20,22
03785,9,17,20,7,12,26,18,26,46
09697,11,31,47,9,32,33,3,17,32
64168,8,27,33,26,29,31,10,14,24
88611,9,16,17,27,53,53,2,26,49
42480,2,5,16,10,17,18,2,11,29
51168,3,9,15,4,6,10,9,35,54
