uid,count_late_for_work_1m,count_late_for_work_2m,count_late_for_work_3m,count_early_from_work_1m,count_early_from_work_2m,count_early_from_work_3m,count_day_off_1m,count_day_off_2m,count_day_off_3m,count_workdays_weekend_1m,count_workdays_weekend_2m,count_workdays_weekend_3m
33121,3,8,23,0,1,16,29,31,41,7,21,27
57606,30,33,36,13,14,22,27,33,37,24,25,36
84976,2,2,6,12,20,22,12,16,26,6,16,26
90086,0,9,16,2,3,6,3,31,44,5,22,25
89364,8,13,27,10,16,28,0,5,20,2,7,12
76334,3,3,11,30,30,38,2,2,8,11,29,49
40078,18,31,33,15,19,27,28,47,53,19,29,41
36324,5,12,31,9,26,36,29,41,49,0,11,34
77781,13,33,39,21,24,27,7,20,27,7,20,29
88782,7,9,22,12,25,38,7,10,22,1,1,7
33845,1,6,26,1,2,28,15,22,27,0,26,31
87541,5,14,17,5,14,30,5,19,39,12,18,23
43611,1,9,25,25,32,35,4,9,24,16,28,36
72331,10,28,28,10,17,25,7,21,31,1,21,31
86470,0,11,27,15,31,38,6,12,22,3,22,22
98961,18,28,44,7,17,19,0,9,18,8,17,17
19293,10,16,23,9,14,21,10,21,41,20,26,27
77627,14,21,23,10,24,30,13,29,32,26,46,63
02608,0,9,19,2,10,13,24,24,30,8,18,25
38811,0,12,15,18,40,65,9,23,31,13,15,27
34024,10,21,38,12,18,24,20,21,31,7,27,49
76868,10,20,28,17,33,37,16,46,76,7,11,13
37068,11,15,16,9,21,25,17,45,58,19,22,23
51339,30,52,76,6,15,38,2,10,12,7,12,22
37556,18,32,32,8,18,21,5,13,19,4,17,26
57865,0,16,19,14,22,33,18,42,60,12,15,20
92648,7,36,40,7,10,21,2,14,37,6,11,19
63319,9,23,27,9,18,19,27,27,37,9,23,27
97812,15,23,26,8,26,33,4,12,21,5,17,18
25397,1,10,16,11,23,34,28,39,46,0,21,40
27671,3,31,42,10,12,31,13,17,28,20,29,30
25130,15,32,32,4,12,27,26,33,38,8,27,43
61431,1,21,51,9,21,21,4,11,28,7,16,24
34056,11,24,44,13,23,24,3,3,7,1,9,15
39549,5,7,7,9,28,35,13,42,50,10,17,32
97519,4,30,60,10,11,17,2,8,17,3,6,9
20486,15,23,51,19,43,64,6,11,41,3,15,33
55065,17,36,57,9,28,35,7,17,22,2,13,29
44827,5,7,17,8,21,32,6,10,17,25,29,43
53848,26,33,51,9,20,40,29,37,44,2,17,22
21583,22,37,37,16,32,39,3,9,17,9,14,20
97239,7,15,18,8,27,31,17,19,29,8,10,10
97354,8,15,24,26,33,62,1,1,13,13,21,40
72180,7,27,28,17,27,33,0,0,0,1,6,7
06177,10,18,37,15,15,19,1,17,18,20,26,32
51053,15,15,29,5,6,7,15,22,22,30,40,43
72328,25,25,28,2,19,35,3,13,16,26,36,44
62096,8,15,26,24,34,37,9,10,33,11,32,48
68125,7,24,32,10,36,38,9,11,16,19,23,28
93397,18,31,45,13,19,29,9,12,12,0,7,35
50078,11,24,24,4,29,32,12,21,48,1,30,39
41505,5,13,23,15,25,39,14,24,36,20,25,52
37191,20,21,28,28,30,36,16,23,29,18,20,30
76121,9,27,46,13,13,15,4,6,12,8,25,45
66075,14,20,30,13,18,26,9,9,15,3,15,32
22452,19,20,34,8,31,43,0,14,27,25,45,54
05384,14,24,38,0,10,20,4,12,36,3,19,28
08246,10,14,22,2,2,3,20,26,27,5,6,19
05750,1,3,3,2,17,18,2,7,12,28,37,45
63811,27,46,52,15,15,19,3,32,34,9,16,30
10184,21,31,39,10,13,18,20,24,30,8,17,36
40612,7,26,33,12,24,31,24,24,35,7,9,39
29727,15,26,32,27,40,60,5,7,26,15,32,33
05213,10,15,18,18,21,40,7,17,19,1,24,43
20279,4,13,20,17,22,22,4,32,51,1,27,36
11242,4,11,16,6,25,38,10,10,13,8,10,29
06896,2,5,7,20,21,24,17,26,29,2,11,19
86086,20,28,43,10,15,42,18,21,24,20,46,66
26900,2,10,19,2,3,14,3,23,26,9,27,33
53155,18,27,47,12,13,27,16,26,37,1,6,12
62640,8,21,37,7,14,17,4,25,31,7,20,29
06647,23,42,66,13,22,27,8,15,30,10,21,30
28121,28,29,29,4,26,35,18,24,33,7,18,32
44605,13,18,48,3,9,15,18,34,34,30,31,44
34418,3,12,16,6,13,14,0,13,35,1,17,25
50599,1,10,23,29,29,35,1,3,17,0,12,12
09517,2,8,11,5,8,33,5,9,16,10,19,30
73252,10,13,17,5,24,37,8,27,32,9,18,34
49702,12,31,45,3,16,36,0,13,26,19,38,54
59602,15,21,45,10,11,17,7,12,27,6,11,34
81402,26,32,42,0,9,12,10,11,21,6,10,17
83074,3,23,26,6,17,37,1,6,11,5,9,17
16799,17,18,29,7,16,29,22,22,28,2,12,12
73346,0,17,37,14,22,32,4,20,35,15,25,37
84160,23,43,46,23,29,32,10,12,15,21,29,36
81706,12,15,17,11,24,25,1,3,10,9,10,10
37250,7,22,37,11,40,40,22,26,36,5,10,22
17502,0,0,2,2,2,5,5,18,39,19,25,25
72335,7,36,42,1,20,26,20,21,29,15,37,46
46566,9,16,18,6,20,20,10,17,24,7,16,26
79831,3,7,23,18,19,36,3,3,7,6,6,13
51317,18,28,37,6,6,23,10,36,45,16,26,39
89118,8,17,28,4,22,31,10,19,21,10,19,33
34601,24,28,42,0,5,20,13,16,24,8,15,44
58988,5,17,21,24,33,39,13,17,33,7,8,27
87959,7,15,17,4,10,11,2,3,16,0,2,7
32029,5,5,13,23,28,44,26,34,40,1,5,23
49714,7,14,16,8,11,22,17,24,28,5,15,23
31068,25,47,52,7,7,9,24,43,50,11,35,37
33226,27,43,48,1,3,5,7,8,17,16,24,26
85909,6,24,42,0,9,34,0,18,44,18,28,34
81458,8,28,29,1,3,13,4,11,11,21,21,31
60204,6,13,25,10,31,39,0,13,27,10,14,36
29862,8,28,51,3,17,35,23,31,31,14,33,40
98286,20,22,25,8,12,17,1,10,34,9,15,19
55196,0,12,21,27,44,59,25,36,57,2,6,14
13213,4,5,5,7,8,15,4,10,11,8,15,30
02975,1,6,23,1,13,16,10,32,34,2,12,22
79844,14,22,27,12,24,37,13,21,31,4,11,17
15956,14,21,28,5,13,20,5,28,51,8,17,21
05477,8,10,16,5,15,15,5,7,16,5,13,18
47130,11,21,30,7,8,28,6,35,35,24,33,33
98236,25,47,52,9,26,29,5,34,43,15,25,28
65573,4,13,25,23,26,33,25,38,47,7,7,12
11323,9,20,24,10,18,46,12,29,35,14,14,31
77521,4,25,34,15,37,52,12,27,27,2,11,14
52832,8,11,14,28,36,38,8,28,35,0,14,36
09445,0,7,22,0,4,4,3,7,7,10,27,32
12200,26,32,53,23,33,40,9,21,39,20,27,41
05108,3,18,25,2,13,23,8,38,52,18,26,39
12190,8,15,25,6,14,17,6,30,31,10,20,31
41465,30,53,62,18,30,36,2,6,16,2,6,12
92262,28,44,72,10,18,27,30,41,47,19,24,33
26679,14,23,27,4,16,23,3,16,33,8,16,26
36254,8,11,16,8,18,20,3,13,14,10,29,44
36590,3,11,30,13,37,52,1,4,20,26,30,30
87886,3,6,16,12,17,30,1,8,12,29,33,42
72766,3,19,24,3,27,30,10,34,63,8,38,47
89192,6,8,18,14,34,49,20,32,58,3,10,11
76610,1,6,27,10,17,36,6,13,43,1,5,23
30582,24,27,28,8,21,27,0,9,18,26,30,57
57754,15,34,63,11,11,16,7,26,29,5,15,34
38880,1,5,13,3,18,38,7,15,26,15,40,45
25613,12,30,43,10,39,53,9,13,13,3,12,39
30039,17,22,31,4,21,37,10,28,38,9,21,24
06290,4,17,25,8,27,35,12,37,44,3,10,28
67421,29,53,67,9,10,24,18,21,26,11,21,25
87319,10,29,47,8,8,18,23,38,38,1,3,8
89088,4,26,31,9,10,25,10,25,46,10,30,36
86228,14,31,34,1,27,35,3,17,28,1,24,27
38545,5,15,25,4,19,22,21,38,45,0,2,10
71649,5,31,34,5,13,23,4,24,35,5,9,13
93573,2,7,19,4,7,10,12,14,18,18,38,45
62752,9,19,37,13,20,27,3,3,10,15,23,30
97347,6,26,52,13,13,17,4,12,22,4,13,15
58170,19,35,40,1,24,24,4,20,27,10,11,30
32109,18,23,27,1,9,38,5,17,20,0,7,11
06888,5,10,17,2,20,24,5,30,34,5,19,28
46032,8,13,22,17,32,39,6,10,17,4,5,25
08075,1,25,26,13,14,30,3,13,17,6,9,23
91649,25,43,58,23,39,40,10,15,22,2,13,14
29093,4,16,26,15,21,34,20,24,32,9,20,23
66817,2,9,28,0,22,31,4,32,48,5,17,17
44826,19,25,40,0,7,18,5,15,35,0,16,19
17901,6,18,24,1,17,21,9,25,31,26,34,42
13480,4,22,40,23,35,39,2,11,16,5,15,23
11766,9,29,53,6,12,12,30,38,41,16,34,42
40701,2,21,33,23,35,39,18,30,47,8,29,39
83974,18,24,28,4,23,40,6,8,16,15,37,47
03235,10,17,22,28,30,35,26,32,40,28,29,37
23816,15,37,66,11,29,37,0,20,31,3,10,28
59303,2,22,42,2,8,13,21,29,37,20,36,40
26146,3,20,40,8,36,43,16,25,41,8,28,44
80658,5,27,50,9,10,20,16,44,46,5,7,19
62060,5,20,36,12,38,48,8,11,16,1,10,10
27955,2,12,12,27,27,28,20,29,39,21,51,64
47576,19,20,22,9,13,26,15,18,38,7,8,32
54488,2,12,29,30,47,60,13,21,24,9,14,32
96414,1,8,27,19,39,41,1,11,25,20,48,52
90281,5,14,31,9,13,16,22,27,36,2,12,13
29612,20,22,33,12,17,22,5,11,31,4,11,28
96925,1,9,17,8,31,36,3,5,14,15,22,31
82380,29,29,36,16,23,37,28,49,54,3,15,19
77436,10,13,20,0,8,13,9,10,18,18,28,49
22130,8,9,16,7,15,23,6,34,54,9,10,22
75105,10,10,28,13,17,36,0,4,30,2,7,14
96078,11,17,27,0,19,30,1,13,17,6,17,17
11383,16,17,21,8,10,10,4,21,30,17,18,28
55568,10,39,45,5,8,13,5,11,22,6,7,11
08335,8,25,31,6,6,9,3,20,28,14,20,24
88364,2,6,35,19,21,31,21,27,31,1,5,13
08623,5,11,33,7,19,27,4,4,8,5,15,25
08583,9,18,26,4,34,42,4,6,10,4,6,9
67848,30,35,52,6,35,43,5,12,13,4,13,28
83604,10,17,26,0,16,19,26,42,51,20,36,42
18232,12,32,41,8,9,17,3,23,38,0,8,33
56823,7,37,48,3,4,11,11,22,42,2,11,12
32642,3,6,6,8,28,33,6,6,13,3,25,28
14847,6,12,20,2,11,23,2,11,41,20,33,36
36143,8,20,23,15,23,41,4,23,43,6,9,18
75123,4,14,16,17,41,41,9,25,55,1,7,36
29348,14,14,18,6,26,30,4,14,16,16,28,33
13398,7,29,42,27,50,74,8,9,12,1,20,24
70787,11,29,36,12,14,20,21,51,71,2,22,33
12384,20,20,22,21,39,54,4,9,14,8,8,18
60680,7,9,9,10,16,16,9,12,23,13,15,16
83469,21,25,25,10,11,12,8,17,30,15,25,29
32137,16,16,18,7,17,18,12,13,22,30,45,49
56512,8,18,28,19,26,36,5,23,36,7,13,25
46791,16,18,37,9,19,19,13,20,24,3,9,16
41501,16,19,49,3,18,20,1,17,35,26,49,64
54439,7,10,35,3,9,9,18,22,30,2,20,25
93446,22,27,31,3,21,29,19,45,48,13,35,40
46980,3,8,31,5,6,20,2,8,12,10,36,38
79007,12,14,21,2,13,19,16,25,27,9,12,36
87181,11,21,24,19,24,32,9,18,25,7,16,20
60885,13,17,25,9,29,49,5,10,10,2,19,26
38002,10,21,36,4,5,30,19,33,39,13,24,24
31809,18,24,26,5,33,57,13,20,23,19,21,31
16412,11,29,33,30,40,42,1,11,12,28,46,50
04826,8,13,21,20,37,39,11,28,38,15,19,21
17040,26,45,48,17,47,50,5,25,30,14,37,43
06517,2,18,27,4,14,26,3,9,22,7,27,40
22746,14,26,37,4,8,12,5,19,25,27,35,45
50886,17,17,24,17,18,39,5,28,33,28,49,52
20463,7,13,23,3,23,30,8,18,26,2,9,23
70391,12,16,33,28,36,41,19,19,22,19,21,51
81723,28,37,61,4,20,22,6,12,15,7,10,10
06417,14,17,29,2,8,13,4,4,22,3,31,33
63829,6,6,15,4,13,19,6,11,22,0,8,13
68063,12,32,46,8,27,36,3,23,31,7,20,22
70747,9,13,18,7,17,35,0,8,34,9,9,15
09351,15,24,25,8,26,31,7,27,44,3,16,23
16123,7,18,38,4,5,14,2,9,24,18,31,48
90430,11,24,27,7,31,34,3,20,27,12,15,18
11098,13,17,25,4,22,24,20,30,32,3,11,30
60617,8,20,30,2,11,15,20,42,52,4,15,19
76060,27,32,50,1,2,17,18,26,37,28,39,46
12793,13,18,26,15,16,29,14,34,50,14,20,44
16223,7,15,24,4,5,6,0,14,16,2,9,36
46004,14,34,35,19,36,46,8,16,31,9,21,28
83571,29,32,50,4,18,26,8,11,31,3,13,22
83148,11,18,35,14,19,27,4,19,24,24,32,41
43323,11,31,35,10,20,22,24,39,48,2,21,50
53537,13,30,36,18,28,55,22,23,28,0,3,19
05762,11,18,23,0,2,12,18,26,35,3,15,35
49617,6,12,23,1,11,18,20,30,37,0,11,14
60297,4,5,7,14,15,33,8,27,35,25,26,36
53418,5,10,15,4,16,22,18,32,41,13,15,22
00655,0,1,10,16,31,31,19,46,58,13,32,37
