uid,count_late_for_work_1m,count_late_for_work_2m,count_late_for_work_3m,count_early_from_work_1m,count_early_from_work_2m,count_early_from_work_3m,count_day_off_1m,count_day_off_2m,count_day_off_3m
92600,0,7,18,18,33,33,7,17,35
99308,19,22,48,15,25,33,5,12,25
76369,28,29,45,10,13,19,15,24,26
39319,30,40,48,8,15,22,2,3,11
07392,2,16,43,25,33,38,17,41,50
59020,9,23,27,9,13,26,24,35,60
24448,4,27,43,23,50,75,4,20,25
67978,20,20,29,19,25,34,11,15,19
84214,23,36,48,27,29,37,0,9,14
82933,5,7,10,16,19,22,10,12,19
30001,16,20,26,30,31,41,18,18,34
39394,21,27,56,6,16,21,6,9,9
30089,26,36,36,6,13,16,18,20,29
74558,30,47,47,2,4,5,4,6,10
62274,1,2,12,13,19,20,9,36,56
14297,6,25,35,4,34,38,0,25,28
97712,1,21,31,4,5,23,10,29,30
05175,18,20,30,22,33,43,6,22,25
43985,14,33,49,16,28,51,3,8,9
06205,28,37,38,10,17,21,8,8,27
66257,5,12,27,6,9,9,8,27,36
02323,3,7,24,3,9,33,10,29,54
88998,9,18,24,0,9,35,6,18,24
21674,5,22,28,17,46,76,0,7,35
71023,22,23,35,25,41,51,6,6,8
95949,12,16,29,7,8,31,0,9,20
78127,7,33,59,13,14,24,7,7,11
32240,22,32,37,15,18,25,7,11,16
62268,3,12,17,7,27,35,1,3,12
77916,15,31,39,14,32,32,5,7,8
85570,7,16,24,8,10,10,1,19,21
78010,15,21,31,10,11,16,30,56,57
35733,14,31,36,4,20,30,9,16,18
69824,1,23,26,12,22,30,2,12,38
23872,0,6,31,4,20,45,9,18,23
16358,11,16,18,0,7,11,16,22,43
91662,4,8,12,13,40,40,1,3,4
94555,3,11,18,19,28,28,30,34,53
19345,8,10,13,9,16,18,17,17,25
94695,23,24,26,0,7,34,4,4,4
32904,17,29,50,15,22,48,7,21,29
34308,0,3,20,18,27,47,1,6,13
22612,7,7,20,4,20,37,8,25,28
69974,4,14,15,8,19,30,6,9,15
08059,10,27,35,19,36,41,9,21,31
15934,10,18,35,5,6,11,15,18,19
88084,4,16,24,4,8,28,7,11,15
04589,0,9,17,8,34,38,16,23,42
82657,9,25,35,6,9,12,19,20,39
03051,7,24,29,16,16,26,3,23,43
74101,13,38,46,6,13,43,3,16,20
28742,10,12,15,11,13,42,8,17,25
28192,10,22,33,15,21,23,0,2,20
32972,12,24,28,14,16,23,6,28,30
82394,5,11,27,2,11,11,0,6,16
56734,2,2,20,13,13,34,3,11,23
34275,2,2,4,2,7,12,8,24,28
57424,18,26,43,16,16,46,4,9,18
35347,20,35,37,15,18,25,0,1,1
76777,18,38,45,26,34,38,22,27,47
57951,6,8,19,10,17,35,21,26,28
57014,2,32,33,3,12,14,10,37,46
65451,3,15,35,5,9,11,9,27,41
38506,11,34,39,2,9,16,3,16,33
07355,20,23,41,4,7,13,6,30,34
50321,4,4,15,9,17,20,8,16,38
93428,7,16,24,18,19,45,20,24,43
12489,3,8,21,8,31,50,6,6,23
13879,21,30,31,6,21,27,15,15,21
53777,15,27,54,2,17,22,8,23,24
54345,10,20,27,4,16,19,7,16,19
38794,6,21,39,10,17,34,16,21,21
85618,20,25,32,10,20,24,13,28,29
54835,0,16,23,13,16,25,2,22,31
78013,17,28,39,10,19,23,9,14,40
80896,7,15,24,3,4,10,1,4,21
90642,2,3,19,25,28,33,13,29,30
17595,12,17,19,4,34,52,12,18,36
25280,24,44,53,2,12,39,6,6,15
94822,11,31,32,9,26,26,15,24,32
12265,2,9,17,0,8,30,8,13,16
35687,8,33,39,16,21,21,0,3,24
49053,20,26,28,8,10,27,8,18,19
39733,10,18,28,7,17,21,13,34,34
77971,26,34,61,8,14,30,2,8,17
93775,5,12,28,4,11,40,2,30,53
76090,15,24,40,2,16,46,9,14,16
30957,3,10,11,16,18,27,19,39,65
81563,16,18,20,9,17,40,22,30,30
19933,22,26,37,8,26,41,29,56,61
86137,26,32,39,15,16,28,19,24,33
38146,3,5,13,23,25,26,0,5,19
46102,8,32,36,10,15,19,7,15,16
63601,6,14,40,2,21,31,21,30,53
