uid,count_late_for_work_1m,count_late_for_work_2m,count_late_for_work_3m,count_early_from_work_1m,count_early_from_work_2m,count_early_from_work_3m,count_day_off_1m,count_day_off_2m,count_day_off_3m
31652,12,38,41,4,11,41,13,30,46
89063,1,11,12,10,40,57,1,7,14
43871,2,18,41,10,33,42,13,25,31
48758,9,28,45,14,16,22,17,30,32
11839,8,21,25,17,37,59,0,2,10
20190,12,29,29,13,33,39,15,26,39
94800,15,32,32,8,22,30,6,8,13
21614,2,6,21,13,17,40,8,9,14
06417,20,23,24,19,32,46,7,27,51
19994,4,8,13,14,14,31,28,42,53
04445,4,26,26,3,6,14,3,10,19
76369,15,22,32,6,15,24,2,6,20
81800,6,12,13,2,7,26,1,7,9
78708,25,39,49,26,43,54,1,1,6
35339,6,20,40,13,25,35,17,33,36
14014,14,22,36,3,23,31,18,36,52
30115,9,12,12,0,15,17,8,9,17
65866,10,14,17,6,12,29,7,11,41
49388,7,14,25,4,28,45,13,23,33
47261,16,42,43,6,12,19,11,17,24
12359,1,11,36,19,34,34,16,43,44
88505,10,10,28,7,10,17,5,5,5
64414,8,22,29,2,7,11,8,8,18
88663,1,14,22,20,31,32,19,47,59
32752,5,14,34,20,28,57,30,35,46
20056,11,31,36,2,23,48,5,5,17
53997,18,26,36,10,23,33,7,18,23
46957,20,26,34,22,48,56,10,40,40
47035,7,19,39,4,25,48,19,27,50
79888,19,33,60,8,17,26,20,28,38
17309,22,35,41,15,18,25,4,11,17
33535,8,31,33,6,6,10,20,27,51
20994,10,30,36,19,37,45,12,14,24
82126,7,8,9,8,32,39,0,6,17
74348,17,26,46,3,10,22,19,28,35
62460,3,19,33,5,12,17,4,9,38
56829,16,34,45,18,27,34,7,26,33
83882,6,17,32,1,14,21,8,11,13
43688,9,19,20,2,7,36,10,23,24
27694,18,29,29,17,19,26,30,51,74
14399,10,16,27,12,39,56,6,22,32
52525,14,24,28,28,46,46,12,27,41
44065,24,26,42,27,37,42,7,25,28
86813,7,11,35,13,23,31,17,36,36
63201,5,9,26,2,25,35,1,17,18
28026,24,26,45,10,15,32,10,27,36
57367,6,20,20,24,31,43,5,29,34
37582,1,2,10,4,10,15,26,29,30
62155,10,35,43,7,9,18,4,22,50
71926,9,11,16,7,15,35,2,2,4
87701,9,10,15,1,2,24,5,13,14
07287,4,6,6,17,47,56,6,9,17
95247,6,16,34,4,11,30,28,44,50
49549,1,18,26,25,54,70,9,20,37
28214,2,11,23,11,19,35,8,12,16
72325,19,23,42,7,26,32,7,10,24
26678,24,31,43,10,23,52,18,20,21
81364,18,44,70,8,17,29,17,18,30
08675,1,7,15,1,5,11,5,13,16
92171,19,33,43,11,15,22,9,32,40
68407,7,20,22,1,12,22,3,21,26
46444,3,23,26,6,20,26,5,9,9
55137,16,30,56,17,17,24,17,44,45
79660,27,29,49,12,14,24,27,42,44
87892,1,27,30,2,3,10,9,11,17
73220,6,16,26,2,6,25,22,29,32
12278,23,24,38,10,14,28,9,26,40
70454,7,22,42,1,4,9,6,34,34
51602,7,7,19,4,14,18,0,1,1
77113,7,26,44,1,4,15,6,9,17
62775,7,7,16,6,10,24,3,15,35
77313,8,16,28,6,16,21,29,42,47
50555,5,10,24,18,20,25,4,21,30
00211,28,50,53,0,11,34,13,25,27
60057,10,10,16,14,28,31,18,35,45
75146,8,11,39,2,8,36,16,28,41
31302,10,18,20,14,40,41,16,39,48
27764,7,22,27,6,8,10,13,13,24
29037,19,21,24,1,7,16,0,9,16
54010,0,4,18,3,5,11,11,30,58
31315,7,16,36,9,31,57,4,8,28
81844,1,5,9,5,13,24,4,13,16
71501,10,22,47,1,29,38,12,28,40
60044,22,23,40,5,8,15,16,25,28
43949,29,34,46,1,7,15,4,5,15
49561,18,28,37,16,26,39,4,9,10
41253,9,10,14,8,22,44,14,29,33
26848,10,11,27,17,32,33,2,2,5
05607,5,7,16,19,22,33,28,42,50
18404,8,20,21,9,18,32,10,40,56
36881,6,14,20,12,17,25,7,15,45
03794,18,28,35,6,12,27,11,41,41
39605,5,13,40,8,14,22,1,9,22
77733,13,36,54,24,34,45,5,7,11
47490,7,29,46,0,17,17,6,26,27
30860,6,10,10,0,1,28,17,20,23
61787,8,18,31,14,42,71,13,34,45
30412,18,18,28,5,29,45,4,33,37
56131,20,32,57,4,8,23,0,20,20
59061,6,25,49,14,32,41,12,23,29
79555,3,11,14,3,5,9,13,15,39
50920,4,7,15,17,17,18,7,8,20
96906,4,11,29,7,27,28,17,28,37
44599,8,38,38,3,6,17,25,26,37
02650,3,13,24,2,21,34,18,18,24
01702,0,27,41,4,6,22,5,10,26
22488,2,20,28,0,4,4,2,25,49
19024,16,26,37,6,8,10,16,22,38
76999,27,28,37,12,26,35,13,27,39
79252,7,8,10,9,9,14,12,26,44
65850,2,16,29,1,17,34,17,42,63
10916,3,11,28,8,15,19,1,6,8
88435,19,29,32,0,2,5,5,10,29
41125,7,17,21,21,23,41,7,16,39
89184,8,24,25,14,29,34,12,17,25
