uid,count_late_for_work_1m,count_late_for_work_2m,count_late_for_work_3m,count_early_from_work_1m,count_early_from_work_2m,count_early_from_work_3m,count_day_off_1m,count_day_off_2m,count_day_off_3m,count_workdays_weekend_1m,count_workdays_weekend_2m,count_workdays_weekend_3m
34299,7,34,41,18,19,19,4,9,22,3,9,12
69781,0,19,38,3,13,18,13,17,17,0,20,30
84618,18,25,54,8,35,36,10,14,18,4,5,15
47651,0,2,5,20,29,42,14,35,58,20,38,45
21864,1,12,42,7,15,18,1,8,22,5,15,26
26615,0,28,37,4,8,38,23,30,40,17,30,49
49906,15,25,26,13,23,41,28,34,38,13,17,22
16285,26,34,61,6,14,33,7,15,21,20,35,52
49166,11,39,57,7,20,38,8,19,36,23,35,45
91318,16,34,44,3,5,23,4,6,19,22,22,30
37221,20,25,26,5,6,7,19,44,46,19,23,43
33680,12,33,37,0,13,24,13,16,34,0,9,19
38563,5,30,30,4,23,52,4,5,6,12,14,34
98438,9,25,38,4,14,14,10,11,21,2,8,12
56112,19,21,27,6,35,37,2,11,13,15,21,28
39519,10,20,28,0,9,16,9,11,25,9,38,38
04864,22,52,56,3,9,35,17,23,33,6,36,45
26814,10,20,25,22,29,29,20,27,27,4,5,8
46184,3,18,32,20,27,38,7,21,21,8,11,28
95093,6,7,9,1,7,16,20,36,46,6,9,19
99830,15,45,57,5,25,26,9,14,29,11,31,53
93003,0,1,6,10,15,21,23,27,30,4,13,16
55044,1,14,30,19,29,36,17,17,29,19,21,22
07654,2,10,18,4,17,42,30,36,42,14,15,25
65351,20,22,51,18,20,33,14,14,42,8,21,28
96141,6,32,32,1,4,7,5,18,27,26,29,30
41095,22,33,34,6,30,43,1,6,20,9,26,43
34448,1,5,11,5,21,27,20,37,45,10,23,41
11880,12,22,29,14,23,26,20,24,32,2,9,18
15891,9,14,43,26,30,30,10,28,48,8,28,31
67173,6,16,28,16,16,27,9,24,25,25,34,48
33671,17,26,35,15,26,32,3,16,17,0,12,25
01461,0,3,4,19,34,35,5,24,36,8,11,15
52258,18,30,38,3,10,19,10,28,47,12,34,36
21892,0,11,33,9,31,39,9,13,21,8,12,30
34645,5,23,27,10,17,35,17,18,22,1,7,13
89323,28,55,63,3,11,17,2,23,48,9,18,26
09602,1,31,40,10,11,24,2,11,19,4,22,28
95131,8,8,9,23,39,42,20,48,50,5,12,34
92501,10,24,26,3,12,21,5,6,8,7,15,19
42542,4,9,23,18,18,21,26,46,54,28,38,62
37549,12,17,19,18,34,38,1,2,9,11,29,48
88852,28,41,50,0,6,9,20,42,48,10,20,20
73572,0,16,25,2,8,18,26,55,64,20,29,37
05924,9,12,13,2,8,8,3,11,22,5,20,25
36750,29,34,46,9,29,47,4,10,12,20,29,35
38169,19,46,49,17,31,32,9,26,32,2,7,16
38740,16,22,35,0,9,22,17,27,29,11,21,39
41658,17,18,40,18,28,33,1,2,4,0,15,41
77216,18,37,57,17,25,35,19,24,43,5,16,18
08803,10,23,31,10,37,41,11,19,35,14,23,33
28003,24,32,43,1,18,23,19,32,41,6,11,18
20435,17,22,32,13,20,28,16,18,32,16,30,32
20098,4,4,6,5,13,20,13,36,57,0,24,46
56000,20,39,61,30,30,37,9,24,26,16,43,69
76661,7,9,27,12,31,47,7,15,15,0,15,25
88043,6,12,28,9,30,31,7,23,26,8,19,24
26197,7,11,17,6,17,38,6,10,11,15,16,22
52465,9,9,16,0,15,35,6,6,10,3,8,16
24735,6,9,19,5,20,22,9,11,20,9,14,16
25552,13,19,31,0,14,23,7,24,43,3,14,43
87924,7,14,20,15,23,24,1,2,15,0,10,15
33576,5,9,18,3,5,5,4,4,4,2,10,11
38181,7,12,12,0,4,8,3,18,26,4,4,5
22228,25,27,53,0,4,12,2,22,23,2,21,23
72604,0,6,20,0,5,23,8,9,14,3,19,20
09922,0,8,17,26,35,65,12,16,28,9,18,32
68395,4,6,11,12,18,20,17,20,34,19,33,41
42070,15,28,29,6,25,25,6,6,25,9,21,46
23521,0,14,23,20,32,35,7,10,18,3,13,23
53399,14,43,53,7,10,23,2,9,12,16,22,30
07166,11,21,34,2,4,25,7,27,28,10,12,22
18196,19,31,51,5,6,16,9,27,52,11,14,28
49223,1,5,12,12,28,30,6,8,23,10,25,26
63096,27,31,37,21,31,31,13,15,38,10,16,17
30697,0,0,2,14,17,22,5,14,14,5,21,32
42703,1,2,21,6,15,16,4,30,33,8,36,47
48738,20,26,27,19,36,45,2,5,5,3,3,15
43934,6,13,16,24,30,32,2,4,19,20,42,67
51110,12,24,25,2,22,48,21,24,25,18,21,24
32982,9,9,15,7,16,19,6,12,26,4,12,37
57889,8,11,33,7,12,13,15,19,26,5,25,51
02436,8,20,38,7,16,30,6,17,25,7,20,26
12389,16,25,35,15,37,44,3,13,15,5,28,43
09387,18,27,33,6,16,44,18,26,34,13,27,30
34284,24,43,45,18,24,44,20,33,57,12,34,38
81735,16,19,33,4,31,41,7,22,28,2,19,31
46498,7,12,15,6,15,32,5,17,27,10,27,33
79356,10,20,23,3,30,42,7,34,45,14,20,28
35294,2,3,21,9,11,16,25,45,64,0,0,19
12555,16,26,35,9,16,28,9,17,17,3,3,6
81969,26,30,38,1,11,16,9,28,30,3,30,38
53107,6,13,28,2,30,31,11,39,42,8,15,16
31644,9,19,27,1,5,23,4,11,19,3,10,37
92294,13,25,25,8,15,24,3,13,41,8,19,30
86535,27,54,55,15,18,27,0,9,12,0,16,25
50595,10,14,23,12,19,29,1,1,4,17,35,59
24776,23,40,43,0,11,25,10,15,26,17,28,46
74755,29,35,40,13,22,44,7,21,33,10,11,31
91410,25,34,49,16,34,51,12,35,43,10,22,32
54573,0,6,9,25,42,50,4,13,26,11,25,32
95768,26,40,43,30,42,48,9,17,36,9,18,24
56884,9,10,32,8,26,39,28,40,55,8,8,25
50960,6,19,23,3,27,47,5,5,21,9,12,32
22903,30,35,53,17,23,37,25,33,34,24,26,45
44744,27,50,62,8,9,19,14,23,31,4,21,48
96742,10,26,32,2,17,35,16,31,39,14,25,47
13136,25,33,35,18,28,28,15,16,22,16,31,34
09763,9,27,28,0,13,16,13,13,20,17,20,29
04573,5,16,32,4,4,17,19,19,29,0,5,9
31726,9,24,41,0,14,31,2,10,19,19,36,49
31231,20,21,31,13,29,41,8,16,21,6,27,30
66866,16,30,35,19,22,24,8,37,41,25,42,52
88500,15,18,43,8,10,16,10,15,15,7,25,25
15439,19,23,48,21,47,48,3,15,20,0,8,17
39908,8,23,29,9,17,22,16,40,51,10,30,33
08601,5,14,18,5,10,21,2,2,19,15,20,35
37716,20,21,25,3,5,15,18,23,33,3,21,24
27835,5,7,27,20,30,58,9,12,18,5,7,16
89817,1,18,31,8,15,28,0,5,34,0,3,8
67349,0,20,28,20,25,38,22,25,26,9,16,24
81036,9,16,33,9,14,29,24,38,62,14,32,36
37079,20,30,42,5,21,29,20,25,28,10,36,60
83817,17,27,53,6,7,11,20,25,26,16,20,35
33900,13,25,44,9,15,24,27,54,58,26,36,38
29732,0,10,40,21,21,33,8,26,35,12,19,28
78718,2,2,2,7,13,37,12,27,32,9,34,50
89164,11,25,40,12,19,41,18,24,28,2,31,34
03104,1,9,12,0,20,20,8,9,12,14,21,21
46011,24,29,34,18,24,28,4,7,12,7,13,17
92361,14,25,25,6,29,34,15,44,72,15,34,53
10984,9,24,25,0,4,8,2,20,34,2,7,13
24946,17,25,25,7,16,24,9,22,27,15,18,37
70480,12,20,24,10,16,26,3,16,31,19,34,36
48843,2,7,8,0,6,25,9,12,14,2,6,7
65306,2,9,15,6,23,30,13,37,40,15,26,36
39874,7,16,17,9,26,35,1,20,36,9,32,39
29256,7,13,22,20,22,26,10,16,25,17,31,40
06144,10,10,20,8,35,52,10,33,33,11,20,31
88200,10,19,24,14,24,32,10,10,10,8,16,28
18350,5,8,17,10,10,16,3,30,44,0,14,19
18588,9,26,45,15,28,42,7,23,27,7,22,40
81631,5,22,28,5,6,14,25,32,40,20,20,31
71809,19,45,46,7,7,37,2,11,19,4,11,20
98641,3,13,33,19,32,42,4,6,17,4,14,21
16612,9,15,32,2,8,17,16,24,24,4,24,34
73467,7,11,26,0,15,18,3,10,31,1,16,25
12162,9,14,21,16,25,30,9,19,25,13,21,49
09813,5,8,16,15,37,51,13,13,25,0,1,10
57112,5,14,17,5,8,18,12,27,39,8,17,34
42275,2,10,17,6,11,16,8,9,31,1,9,10
13312,10,11,31,4,10,16,0,3,26,5,19,46
05915,3,10,20,2,5,20,3,6,6,2,16,40
89399,17,45,60,1,2,8,4,7,12,2,22,27
98054,2,24,30,3,14,26,4,7,31,16,26,29
95494,9,11,13,4,6,12,8,27,46,13,23,24
52040,9,15,30,17,22,32,7,18,37,6,21,28
77339,29,35,45,0,10,26,8,21,23,9,18,24
66068,19,23,47,11,21,26,8,21,28,29,33,33
98869,15,22,28,28,55,57,11,21,41,6,8,10
34110,26,41,42,4,10,29,0,20,28,3,26,36
68335,15,25,34,18,27,31,12,25,36,1,10,19
50358,13,17,21,25,48,55,4,5,21,4,10,15
87472,15,16,32,7,11,22,19,32,62,3,7,10
74344,1,2,20,25,53,63,2,16,26,13,31,37
08421,2,9,19,16,19,26,20,23,23,28,30,37
94941,6,9,27,7,10,36,28,49,54,30,40,40
70063,19,36,66,14,26,30,10,19,21,9,11,22
11169,0,4,34,26,46,72,0,3,11,2,19,38
24732,20,27,37,17,19,26,5,13,31,2,9,9
28637,0,7,9,6,26,37,3,5,7,14,16,25
90940,7,20,21,0,9,16,13,39,46,17,23,39
