uid,count_late_for_work_1m,count_late_for_work_2m,count_late_for_work_3m,count_early_from_work_1m,count_early_from_work_2m,count_early_from_work_3m,count_day_off_1m,count_day_off_2m,count_day_off_3m,count_workdays_weekend_1m,count_workdays_weekend_2m,count_workdays_weekend_3m
54411,2,10,17,2,14,20,9,38,55,8,16,22
50808,18,42,51,26,40,51,4,5,17,7,13,19
37560,16,29,36,14,27,41,1,12,15,2,23,25
62604,11,27,29,30,48,52,13,27,37,5,9,15
15222,5,8,13,4,6,13,20,39,69,9,13,21
85692,2,12,25,1,11,21,5,11,14,13,18,24
89307,7,9,24,0,6,16,18,44,67,4,12,32
18122,16,24,38,20,23,53,8,23,29,7,19,25
05581,4,18,36,20,21,21,0,4,20,7,7,8
74825,7,11,27,10,29,29,16,35,43,1,3,20
37276,7,12,28,10,28,30,14,28,28,5,15,21
25433,2,20,22,3,17,25,6,12,32,8,28,37
93512,1,3,3,7,8,11,14,22,22,24,32,46
27520,4,6,16,9,24,27,4,11,13,10,16,26
48494,7,16,25,7,12,33,7,13,24,17,20,26
44022,25,33,35,6,21,27,16,42,45,1,14,29
95819,13,23,28,10,22,39,10,10,19,17,28,30
58374,21,27,36,28,32,40,6,14,33,17,18,38
62436,2,6,14,3,14,20,7,14,23,15,42,48
20596,3,8,12,10,14,31,13,40,50,1,11,30
48838,8,26,41,14,17,20,9,35,54,17,38,43
73565,6,22,47,5,14,20,24,31,60,7,25,26
22128,17,46,55,15,21,25,9,29,52,15,23,46
32364,14,15,22,6,15,16,7,28,40,7,18,28
32858,1,8,17,2,2,28,3,9,27,9,26,40
00183,2,11,15,12,19,22,15,24,54,2,27,32
89191,4,22,31,8,9,33,12,15,21,16,24,33
21475,4,22,35,10,37,43,5,22,24,8,15,23
89199,0,9,19,19,25,51,20,37,59,4,7,14
99102,8,17,19,9,24,38,16,16,26,7,23,40
00363,25,34,40,28,32,34,28,47,62,7,26,26
84958,18,25,43,6,8,33,6,8,17,21,30,59
30720,4,16,23,0,6,11,8,12,27,19,43,54
25129,16,40,41,25,27,32,18,22,31,5,14,43
54843,17,26,35,2,28,45,0,9,11,10,12,15
15402,5,20,26,3,11,18,10,20,25,0,10,29
29836,4,23,38,13,17,21,8,38,43,0,7,28
82225,4,6,7,14,29,33,8,13,14,7,13,16
62167,0,3,4,3,6,10,16,28,38,5,30,35
59041,30,36,45,14,44,48,15,20,26,6,8,16
00773,3,4,19,6,14,23,0,4,13,2,7,8
70604,4,12,30,5,19,19,6,16,33,3,13,33
16643,3,9,17,9,16,27,7,32,35,8,28,48
66682,17,17,25,14,17,18,8,38,40,6,28,53
11548,7,14,20,11,21,32,20,29,29,27,28,55
65879,18,27,52,11,31,34,7,19,36,9,11,19
72927,13,15,17,19,20,20,4,34,59,0,24,25
40673,4,6,15,13,32,34,3,11,17,14,21,38
09678,19,24,24,13,23,24,1,6,15,23,36,44
32058,7,35,37,0,8,11,11,31,31,13,18,23
42577,7,17,34,8,18,28,4,6,8,27,27,27
26001,13,16,18,4,15,18,4,20,21,1,3,15
36055,8,14,33,29,39,45,10,13,15,8,11,19
68176,18,35,39,6,21,29,20,28,37,21,27,44
39696,6,8,24,4,12,18,24,42,57,3,5,8
16034,5,7,21,0,10,27,13,14,41,0,17,18
97034,0,18,27,2,10,32,6,7,8,15,20,20
99506,7,9,17,25,45,62,6,32,36,26,43,43
89727,5,24,38,18,25,25,16,35,63,26,35,55
62842,15,23,26,6,7,10,4,14,41,8,8,14
63702,8,19,26,4,6,19,4,4,6,20,20,37
76554,19,24,33,15,24,33,5,34,42,11,11,16
99597,3,13,20,7,7,15,13,16,19,10,27,54
38789,4,17,20,0,15,23,5,11,30,17,32,42
97157,19,29,39,5,27,43,8,16,20,7,7,11
54817,8,15,21,16,17,23,1,10,32,5,8,38
66553,5,25,31,23,30,39,1,8,27,14,16,22
28816,7,27,40,10,17,45,20,21,28,2,9,14
90360,23,30,33,4,15,21,4,11,16,2,18,21
00732,5,10,33,19,37,40,8,16,17,1,9,14
55961,17,24,28,7,27,41,12,13,35,0,0,17
00760,10,28,38,20,35,35,16,22,24,10,35,61
76047,18,28,32,25,29,29,29,48,65,30,30,31
04046,9,19,31,9,16,31,17,46,46,7,25,38
79808,12,31,36,18,25,44,19,32,47,13,17,18
65545,0,2,4,11,18,30,10,34,53,20,40,52
96029,10,18,25,29,38,54,6,10,10,2,13,43
87101,0,10,28,23,36,61,8,10,23,15,15,24
92746,7,11,16,25,36,52,20,27,27,8,27,34
31677,1,22,36,10,18,37,4,29,31,1,1,4
79710,3,3,33,17,27,33,7,20,23,21,22,30
23991,30,36,36,5,25,25,15,15,23,10,28,42
78310,5,24,28,9,27,36,9,19,22,15,22,29
57176,2,12,25,3,6,21,10,16,28,22,28,45
91033,10,39,55,1,9,21,6,9,31,16,17,34
18585,16,43,57,19,47,51,5,22,23,7,30,50
60486,7,11,20,13,14,15,10,12,39,1,11,21
66824,21,23,28,27,40,41,7,10,16,0,7,14
29013,10,19,25,17,17,20,9,9,10,5,34,44
61383,1,10,17,6,24,24,2,8,38,25,32,51
73673,28,33,41,9,27,42,19,29,40,9,16,27
65598,10,14,30,1,10,16,20,37,46,3,18,24
30269,8,28,30,6,11,12,4,14,32,2,2,32
85209,6,25,49,0,8,26,3,8,16,10,40,45
