uid,count_late_for_work_1m,count_late_for_work_2m,count_late_for_work_3m,count_early_from_work_1m,count_early_from_work_2m,count_early_from_work_3m,count_day_off_1m,count_day_off_2m,count_day_off_3m,count_workdays_weekend_1m,count_workdays_weekend_2m,count_workdays_weekend_3m
24437,6,10,10,12,18,26,24,34,36,9,21,34
33834,27,29,29,14,18,47,4,5,24,2,11,20
80144,6,10,10,2,7,19,9,22,38,2,9,26
12526,18,23,41,4,9,17,7,27,29,6,26,36
92787,11,22,25,4,11,20,20,29,33,2,13,23
94770,0,6,23,27,41,57,17,23,31,2,26,34
85546,7,18,22,5,24,44,9,19,28,0,10,13
97320,15,16,25,16,30,44,29,40,41,9,17,25
29492,18,31,37,5,13,16,3,17,28,2,22,24
64890,30,41,64,8,8,27,13,23,43,19,29,32
50417,5,23,41,13,23,28,4,19,23,15,23,23
93767,20,20,38,2,4,7,1,18,28,17,36,43
52004,13,21,41,9,19,44,9,13,27,10,21,23
69851,20,40,44,3,16,30,2,19,28,12,16,17
34322,10,21,22,8,17,23,1,2,9,18,31,39
36100,24,34,44,20,31,60,3,23,48,5,6,20
38095,13,15,20,5,8,14,4,20,22,3,8,14
48608,26,47,51,7,16,20,0,25,28,12,14,15
31634,2,7,15,14,33,42,8,8,10,1,1,21
45784,1,4,19,10,18,20,10,16,33,12,23,32
26042,6,7,12,23,35,36,6,13,21,28,30,38
00522,0,5,17,8,30,43,26,37,62,0,10,15
70255,5,6,24,25,31,33,7,16,20,23,50,57
30787,2,4,10,30,42,43,2,8,20,29,44,52
02114,6,35,42,10,10,23,19,35,38,17,35,39
19188,2,8,38,18,19,23,29,36,60,17,21,29
01233,0,2,21,7,13,15,27,46,56,1,10,38
81491,5,8,28,9,13,20,28,46,47,7,17,21
13165,13,29,39,4,14,16,3,12,12,9,24,27
73768,5,16,24,9,25,25,8,31,41,7,8,9
78258,7,16,22,0,1,25,7,36,58,8,14,32
55114,7,11,18,2,2,7,4,8,32,27,55,73
76994,6,19,34,6,28,30,4,4,13,15,22,32
67822,3,15,18,24,44,61,7,11,12,9,12,13
19948,10,21,43,3,14,29,13,14,29,7,10,18
15255,16,25,50,1,13,18,1,30,59,12,41,60
48457,8,18,23,6,6,18,5,14,14,14,23,32
86868,14,20,21,17,20,25,1,16,24,9,24,34
89792,6,6,12,8,18,20,11,28,46,29,43,55
43062,18,30,36,21,32,58,20,39,46,19,29,29
43606,15,31,39,11,20,49,6,8,19,23,32,33
60702,24,32,37,13,20,39,10,28,44,2,9,10
95237,9,10,17,8,22,35,15,35,35,10,13,16
33121,2,20,29,3,7,10,19,23,30,2,19,24
18680,7,7,23,16,26,43,19,23,28,3,15,28
63713,9,18,18,14,21,29,9,18,22,6,13,16
03198,1,11,13,24,37,44,8,18,33,7,15,17
66662,4,6,21,15,44,48,15,24,47,13,34,37
01899,13,41,44,8,16,16,9,12,13,19,20,34
83910,0,4,14,9,21,33,11,26,44,8,16,32
25350,29,49,62,5,7,13,3,3,9,0,9,25
54400,8,13,16,0,13,29,4,23,33,3,13,14
39103,19,27,50,6,22,25,18,31,37,7,7,20
87409,13,38,48,7,12,17,10,19,37,23,40,45
34765,2,3,11,29,42,49,9,25,33,20,36,40
96581,3,23,26,7,10,19,16,30,40,6,28,31
57424,6,10,32,5,17,42,7,8,28,22,43,62
60774,6,9,13,16,19,27,18,28,34,18,25,31
15794,3,33,38,5,14,41,4,29,30,6,16,19
93955,6,16,23,2,8,22,0,2,12,6,23,51
58915,16,20,41,0,16,25,5,14,24,16,24,32
92445,11,17,22,28,31,41,14,19,30,2,7,11
73829,9,22,37,1,5,9,9,11,14,1,9,19
31282,19,26,42,20,34,47,21,30,41,7,12,19
52035,16,17,20,22,34,36,25,42,60,1,2,8
10923,0,5,17,4,9,9,5,16,28,20,23,41
34909,20,20,46,7,9,13,8,13,33,13,42,45
40737,0,10,18,25,32,34,4,25,39,3,7,12
06490,8,19,23,2,13,22,5,7,14,18,24,31
97288,8,19,35,1,6,14,0,1,2,4,6,16
48769,10,16,25,15,35,35,4,8,10,9,13,16
57203,10,30,40,25,33,43,2,4,6,27,50,57
08345,10,17,35,15,18,30,20,30,43,24,45,62
43351,9,9,14,10,38,55,29,38,51,5,21,31
49675,10,11,17,20,31,49,2,14,23,8,10,19
88290,13,15,18,7,26,26,13,13,20,6,7,11
74664,17,36,37,5,9,20,8,8,17,27,28,36
81191,23,30,31,4,11,20,5,18,38,2,9,31
08996,20,25,50,3,11,17,21,41,43,27,46,49
85226,18,19,28,1,11,26,15,24,47,2,3,14
43236,12,23,43,10,30,30,14,29,38,9,23,25
69873,11,13,31,7,21,23,12,13,33,2,11,19
71542,0,15,35,27,32,39,9,30,42,2,2,10
58706,10,17,27,12,22,26,2,18,37,3,23,30
50195,6,11,17,7,7,37,8,24,38,9,19,26
24519,5,26,28,8,11,17,2,13,24,18,42,45
88777,4,28,31,0,6,7,10,18,31,10,11,16
60842,23,23,25,14,14,27,1,26,43,8,9,19
32453,6,22,22,17,32,48,6,15,38,0,9,13
94313,9,19,30,5,12,22,11,31,56,2,26,29
68574,6,15,16,30,36,60,1,15,25,10,14,22
53528,5,23,39,10,20,39,26,27,45,2,2,10
30400,4,24,50,2,9,29,8,18,25,6,31,35
89059,29,55,62,21,33,43,15,15,18,10,21,35
17348,13,30,37,6,8,9,16,23,28,10,20,23
51605,1,8,22,7,12,15,4,10,17,12,19,25
01415,29,47,47,2,10,34,8,24,27,17,27,27
30290,6,11,28,11,19,38,1,10,25,9,26,29
15965,20,26,52,4,8,21,24,27,45,5,13,16
89296,19,26,34,17,22,28,8,25,45,14,24,50
41371,29,49,67,23,31,41,28,33,41,1,2,7
20900,28,32,51,11,21,28,0,8,34,18,32,40
99394,0,3,4,16,21,24,15,18,23,24,31,58
67629,11,16,16,8,10,16,6,11,11,1,6,16
27903,14,18,24,1,10,18,10,10,27,1,11,17
97295,27,47,51,0,3,25,14,20,35,22,25,42
85703,19,35,35,5,23,39,18,27,30,7,23,27
05531,14,29,29,3,7,19,1,1,5,5,24,42
93848,14,29,38,2,31,50,0,3,13,5,7,9
81293,1,10,30,9,37,52,8,26,44,2,23,38
84281,4,16,25,1,5,8,19,35,42,2,7,13
06861,4,16,20,7,8,38,21,45,48,0,12,19
41349,17,25,44,4,16,28,6,11,18,6,21,40
02078,16,26,29,4,7,9,8,8,13,6,15,34
13374,1,8,20,25,41,71,10,26,26,18,36,39
43436,6,19,21,3,9,19,1,3,21,23,29,46
79597,9,13,17,7,32,37,10,10,31,3,19,23
01121,10,28,37,9,11,23,5,9,15,1,10,18
39220,10,17,22,3,11,19,1,16,22,10,17,24
89615,27,33,43,23,42,52,5,34,57,19,26,26
61789,2,10,15,27,48,54,19,42,51,25,25,25
07653,11,11,33,5,11,35,14,16,27,7,17,32
30016,25,55,64,10,11,37,0,11,21,21,41,61
19888,1,9,15,10,19,36,9,39,67,29,35,39
07302,13,26,35,15,26,36,29,49,51,22,46,53
84434,28,35,39,9,10,14,14,17,40,1,13,19
86523,7,14,24,0,22,44,10,34,54,10,16,32
95269,1,17,34,3,10,20,8,28,30,0,0,2
70977,18,30,36,5,24,31,18,32,37,8,15,17
78992,2,5,6,1,30,37,9,16,43,20,37,54
21667,1,10,16,6,16,18,6,9,14,10,10,12
78244,12,20,24,2,8,26,29,44,51,6,6,10
49612,23,23,52,23,33,39,18,27,34,13,20,39
83102,4,12,32,20,25,42,1,1,7,9,17,35
61085,23,24,40,7,7,20,28,31,34,4,29,49
93190,4,5,7,5,10,26,4,28,32,10,40,48
56728,1,3,9,1,9,22,6,8,12,19,38,41
20811,11,41,46,18,20,27,6,13,34,0,1,10
70482,14,20,22,30,55,60,20,22,38,21,32,33
21153,3,4,7,10,13,33,4,20,22,27,46,70
77131,8,8,14,27,47,66,11,20,26,17,20,21
98051,18,24,32,10,18,19,2,30,32,9,13,22
49594,1,10,20,7,8,17,6,36,36,9,10,14
18520,8,13,35,13,21,38,6,15,44,21,31,42
71714,6,8,13,3,4,16,5,24,25,13,24,42
15301,24,30,36,13,18,21,0,19,37,13,16,30
95424,17,24,27,6,24,29,6,11,15,14,17,21
67670,14,23,37,7,13,15,0,20,22,7,22,22
83447,5,7,24,28,28,37,8,20,38,5,7,16
42039,9,25,31,0,28,49,4,29,40,6,22,52
27127,7,18,37,26,27,34,1,21,23,7,13,37
76170,30,33,39,3,8,10,6,8,24,4,6,24
76530,0,7,8,4,22,25,3,29,50,9,15,42
94698,13,22,24,0,21,24,3,11,24,6,30,35
49643,0,22,27,5,12,17,15,17,31,4,33,42
94849,18,22,32,9,19,21,24,40,40,10,13,37
63118,16,24,34,9,25,42,1,15,15,9,23,43
56888,20,38,58,27,27,41,10,25,50,10,14,38
02351,10,19,37,2,3,29,6,10,28,4,13,30
11771,8,11,25,7,9,37,4,10,30,10,28,31
36710,5,32,41,8,19,34,6,22,23,0,4,22
46909,4,13,17,12,13,31,12,18,23,1,8,11
23800,3,7,13,0,17,24,10,34,40,18,38,57
59608,16,24,30,12,16,16,3,22,23,12,19,33
94274,15,26,30,0,7,17,7,7,28,2,3,16
72149,5,5,10,3,13,22,20,30,38,27,28,56
03258,9,13,42,0,7,15,17,24,31,23,38,40
31296,15,31,38,2,5,16,2,2,5,15,38,47
70417,4,5,23,3,22,46,3,10,18,5,9,13
40403,9,14,32,11,15,20,7,15,15,7,9,10
77864,9,9,9,5,15,37,17,22,36,23,26,35
77887,21,36,64,20,46,54,12,16,35,17,37,39
50915,3,9,11,9,12,16,8,10,18,17,18,35
20310,4,12,31,9,27,46,18,46,59,1,10,19
10657,9,20,21,24,41,59,26,34,43,7,13,42
96403,7,8,25,7,25,45,12,18,19,19,27,55
23433,5,10,14,4,19,39,2,20,31,6,12,13
04991,9,25,34,15,24,25,7,37,44,20,48,65
04573,21,30,52,22,22,27,22,28,28,24,31,51
38422,10,19,23,11,11,41,9,37,47,5,15,24
67714,8,11,26,16,18,22,8,22,32,7,23,42
59939,0,9,18,0,0,14,10,14,14,1,4,10
01013,0,6,14,7,24,33,1,12,25,27,28,30
56373,8,24,32,0,4,22,29,34,46,3,21,25
14288,2,9,19,17,19,49,3,21,27,10,19,35
32907,5,12,18,13,16,16,7,23,30,14,39,39
00138,1,11,20,10,22,29,14,39,45,3,3,16
45387,10,23,53,6,12,25,17,18,38,19,35,41
46105,1,10,24,17,36,38,9,15,30,5,10,20
51706,25,37,41,9,13,35,8,8,13,20,25,47
32161,10,19,19,20,38,38,9,22,32,14,43,71
01375,3,3,20,3,5,9,4,5,11,2,7,13
33357,15,35,43,8,11,18,2,4,16,0,5,10
12391,13,32,35,14,22,30,7,14,25,2,24,33
56886,13,21,40,5,7,17,18,25,41,12,25,28
81341,6,35,44,12,13,31,18,40,60,5,7,7
02395,5,23,28,18,19,37,3,11,18,16,17,35
69626,12,41,49,11,28,36,9,31,31,18,23,51
09140,29,35,39,1,3,6,6,14,15,6,11,37
76255,2,8,12,9,21,37,9,11,13,20,28,43
80099,16,22,24,12,25,25,11,20,27,13,28,48
49947,16,24,52,23,33,40,9,19,40,4,14,30
90466,24,36,44,19,27,43,10,26,38,29,30,38
11331,10,10,27,5,7,13,7,32,41,2,22,24
