uid,count_late_for_work_1m,count_late_for_work_2m,count_late_for_work_3m,count_early_from_work_1m,count_early_from_work_2m,count_early_from_work_3m,count_day_off_1m,count_day_off_2m,count_day_off_3m,count_workdays_weekend_1m,count_workdays_weekend_2m,count_workdays_weekend_3m
12092,13,19,19,18,33,45,11,39,46,18,29,38
04313,0,8,11,28,56,63,1,13,22,20,28,28
08306,0,12,38,28,37,42,9,17,23,8,25,31
94574,14,31,31,19,27,37,11,28,28,5,15,43
37737,8,33,61,18,30,51,20,25,33,24,30,34
54225,5,10,12,6,35,41,9,24,41,23,26,28
36635,7,13,42,4,5,14,5,24,34,6,8,28
80240,10,27,54,7,21,48,17,25,49,8,16,40
13479,6,16,18,6,18,28,18,25,28,12,21,29
73610,5,9,24,1,10,38,22,23,29,8,28,42
54924,0,3,32,6,17,32,19,33,37,15,29,58
02618,16,33,42,4,14,18,25,32,60,0,0,2
89048,0,18,23,0,12,32,17,29,32,9,15,43
85786,9,23,25,3,12,16,3,12,28,4,14,25
91196,22,23,26,5,12,16,10,16,28,5,14,17
03064,12,28,48,11,14,30,13,28,29,10,30,34
12222,3,21,21,2,32,35,7,36,47,8,16,25
83567,21,27,34,6,24,37,3,23,28,13,21,33
31664,5,8,15,0,18,32,4,27,36,12,20,44
73050,4,15,23,6,17,37,7,21,27,7,15,25
15431,6,32,39,18,24,52,22,36,42,16,24,25
50307,4,12,15,18,22,51,27,30,30,10,30,43
84074,14,21,21,9,11,20,10,16,36,17,18,26
54664,0,17,17,5,9,11,0,17,22,19,23,31
03515,1,2,20,12,15,20,4,14,16,6,17,44
33354,16,24,34,5,9,21,9,16,23,20,37,54
03664,28,37,53,26,43,50,3,20,31,4,9,27
95194,4,13,29,18,18,27,6,22,25,4,12,12
77503,28,48,53,5,5,15,8,14,15,27,34,39
94132,12,27,31,17,20,22,15,20,30,9,16,26
62758,10,36,39,2,12,21,7,16,19,3,17,33
83123,2,18,20,17,37,38,12,16,42,17,21,23
26201,7,7,15,10,20,34,27,42,49,23,37,40
79142,13,15,21,5,25,53,6,6,7,10,26,36
75791,13,16,44,13,17,36,5,6,9,14,24,54
98050,0,18,21,17,27,32,20,21,38,3,23,32
72579,0,9,13,11,29,51,19,30,43,12,21,21
68902,1,5,6,29,43,61,3,21,22,7,11,17
46361,10,17,23,10,23,24,6,12,20,2,3,9
17452,3,24,25,20,24,44,3,6,16,18,19,37
75805,16,19,24,0,8,17,3,22,40,7,10,15
54560,27,45,51,20,44,49,6,14,21,20,24,40
88942,28,32,34,9,18,30,0,26,28,3,14,17
42419,23,25,33,14,31,42,8,24,28,16,20,34
02888,12,32,33,0,11,20,14,15,34,9,15,30
85781,5,13,15,26,49,57,26,50,58,9,18,28
98300,20,26,31,7,14,26,25,32,42,6,29,33
89383,5,5,25,3,3,18,7,19,34,13,22,33
15436,3,8,20,19,21,41,5,16,25,10,10,19
97487,13,14,23,5,16,26,2,10,18,0,0,6
80298,28,31,52,0,18,45,13,19,23,6,10,16
88804,3,23,33,24,38,64,2,11,31,9,28,40
07457,19,26,32,14,32,33,6,8,15,11,13,29
48012,23,43,49,12,13,13,10,22,48,15,29,33
08121,19,35,36,14,16,34,0,13,17,1,2,4
41697,4,4,8,8,11,27,6,30,32,8,13,18
82753,20,24,48,20,21,21,8,10,15,10,14,14
04106,14,43,45,0,3,23,0,13,29,2,2,28
44877,12,29,36,1,8,27,28,28,53,7,7,23
61612,9,15,26,4,4,6,7,14,25,13,39,52
63211,26,26,38,9,14,27,10,17,20,15,22,30
84968,9,20,28,19,19,19,7,16,20,1,7,36
74016,10,38,47,1,11,21,5,14,24,10,16,38
69266,7,8,25,6,13,41,4,6,27,7,7,13
76825,1,12,21,12,39,67,15,22,31,8,10,22
61885,27,27,27,11,14,16,10,10,10,12,15,19
16066,1,16,44,10,32,61,7,14,22,26,36,40
89353,17,24,53,0,5,10,4,25,25,3,8,16
19553,3,33,36,17,25,27,19,39,56,23,28,53
04437,14,27,32,12,15,41,12,14,16,7,7,20
62292,25,34,44,10,25,27,7,32,36,14,27,35
67733,29,39,46,3,3,21,8,10,26,5,5,13
84198,18,27,29,16,38,51,10,39,41,6,8,32
21527,6,13,14,5,5,9,2,22,22,1,10,12
46416,2,7,30,25,30,41,7,25,42,12,15,24
42692,7,9,25,16,31,34,0,5,23,4,5,25
23851,29,44,49,4,6,15,3,16,22,20,40,43
57552,10,10,17,0,5,17,1,1,2,23,35,58
51739,5,18,28,7,25,37,2,16,18,1,8,12
25881,13,19,24,22,25,32,11,16,20,6,34,40
66904,14,16,26,4,11,17,0,8,12,18,23,46
18706,11,14,25,3,15,24,5,10,26,3,8,14
27226,20,28,45,27,42,44,10,38,47,14,33,43
14588,10,14,27,19,25,34,4,7,13,9,32,37
43816,22,29,30,26,34,41,1,15,17,9,38,38
08911,17,24,34,17,38,51,4,8,22,22,26,29
93691,5,9,18,9,13,20,14,19,37,4,16,27
19250,20,36,45,13,22,31,20,41,45,15,24,37
50270,19,29,35,5,14,31,15,32,54,25,28,58
80363,27,35,46,11,11,24,0,3,5,5,19,47
08361,13,14,18,4,14,21,4,8,33,0,28,39
20420,10,14,21,6,13,21,10,10,13,1,4,5
53730,1,6,36,24,51,58,0,14,33,9,15,21
76050,8,11,29,16,35,52,1,9,13,23,24,46
05288,29,56,66,4,4,10,17,18,45,4,6,23
46392,6,15,23,20,44,72,3,26,45,6,22,27
38545,10,12,33,12,19,41,2,23,23,1,18,34
77109,11,20,22,6,24,29,1,15,23,11,16,16
39074,7,9,11,4,18,19,17,17,38,29,44,45
58002,1,7,12,11,11,16,16,28,39,13,36,43
10602,2,20,34,3,7,17,14,15,32,2,9,15
36347,10,14,18,1,8,11,4,6,29,18,45,64
55064,15,25,42,20,27,37,19,32,34,19,39,55
62527,11,11,18,18,28,32,2,10,15,8,35,50
13093,3,6,23,2,17,41,6,26,26,19,38,48
41350,26,43,47,1,7,7,7,17,19,4,11,34
35000,0,5,35,17,32,36,1,8,18,29,35,46
97929,7,16,18,8,14,40,17,25,35,5,6,20
68520,20,26,30,1,2,19,3,32,54,11,26,35
39566,5,9,11,2,3,22,24,30,39,29,58,66
00075,16,21,27,8,14,44,12,24,34,16,26,39
15143,24,26,29,0,5,13,5,5,13,20,24,24
78627,3,9,14,2,30,32,1,13,13,29,35,37
88820,4,14,34,6,14,36,5,15,25,8,37,44
73578,12,18,36,3,3,4,1,2,4,8,19,23
15024,22,26,36,3,12,32,3,16,19,6,7,32
98487,16,21,33,14,16,25,3,9,15,26,55,73
12007,7,10,13,3,8,17,3,7,24,7,18,30
54204,7,18,22,7,15,27,4,34,39,14,26,30
23367,7,26,30,24,41,53,8,21,34,5,12,13
15281,10,11,26,7,10,30,10,11,13,10,23,40
30657,14,26,34,6,22,25,3,23,24,8,8,10
65760,23,27,27,11,16,19,17,42,50,8,25,35
16655,16,41,53,19,28,35,7,11,20,11,14,26
95998,6,10,27,3,7,30,25,40,40,6,11,38
59917,17,20,37,1,9,17,3,17,31,16,27,27
84918,1,5,13,0,0,12,4,10,10,9,38,48
91392,15,43,49,4,18,26,30,33,43,17,24,24
49849,19,30,32,4,11,21,11,20,30,13,22,33
44655,27,28,32,3,21,23,11,16,21,1,1,7
80029,3,10,15,3,7,9,11,17,21,20,27,35
59212,15,21,43,1,29,36,13,23,24,3,3,10
27516,19,39,39,21,50,70,8,11,27,30,56,62
67596,5,10,23,9,17,30,4,6,6,20,27,32
09393,3,21,29,7,8,33,8,36,41,1,20,30
11824,11,31,42,6,11,23,6,15,29,16,21,30
98281,17,23,44,24,24,34,20,22,25,5,11,13
06618,17,18,37,24,44,54,2,2,12,28,31,40
38882,4,14,14,1,1,4,4,11,24,9,12,15
52290,8,15,29,14,37,40,4,15,28,3,6,13
32971,16,18,29,13,29,43,3,7,14,21,28,41
63492,2,16,37,1,2,13,30,35,42,8,11,21
66754,16,30,31,4,23,37,5,31,36,5,30,39
72312,3,6,26,0,3,6,9,13,22,2,11,13
80082,6,25,39,10,20,22,2,9,14,9,25,30
95659,11,11,39,1,14,29,22,35,37,15,16,35
56549,1,15,22,6,10,15,2,11,26,24,32,51
71786,19,19,20,21,27,32,21,43,45,2,11,14
76339,23,49,77,0,10,15,3,11,29,1,21,30
41041,12,35,41,30,41,49,27,34,48,29,44,53
67742,15,27,28,5,12,15,6,21,38,11,16,24
73268,3,15,17,0,7,9,4,14,19,6,10,27
31786,7,9,12,19,34,49,13,22,31,1,15,20
04158,7,15,16,19,28,29,10,17,21,5,13,28
24438,23,25,25,9,17,21,3,13,28,10,11,16
75127,2,7,7,5,10,15,29,39,58,9,10,17
88118,6,16,35,23,32,45,3,5,27,13,32,40
91174,26,36,60,20,29,35,26,27,38,4,29,33
38583,6,14,22,15,27,35,8,24,25,16,16,37
53237,1,5,16,10,13,31,0,14,23,23,33,47
39340,20,33,60,12,28,28,17,18,35,15,25,31
11296,28,49,52,26,56,61,17,22,38,9,18,45
22454,5,12,25,18,25,35,10,17,36,7,10,27
72323,18,22,45,5,14,15,4,10,14,19,27,29
07914,9,10,16,13,17,32,4,11,24,4,11,17
20186,9,34,37,3,29,52,7,9,9,22,51,70
75174,17,27,41,12,19,29,14,17,25,1,8,18
76238,8,22,42,30,38,61,12,26,34,2,28,36
68751,10,38,48,16,31,38,12,17,35,12,14,26
35338,6,10,29,3,16,28,22,38,43,8,23,33
28533,14,21,25,0,10,19,2,2,23,6,8,26
70239,3,19,31,5,23,43,23,31,44,12,13,19
15081,8,20,20,14,15,24,3,13,26,2,15,19
09119,23,26,31,8,10,12,4,11,25,12,14,20
00965,7,7,17,18,20,28,24,34,55,0,4,6
50548,6,15,33,1,13,32,14,29,31,14,23,41
92310,19,48,52,1,7,36,4,6,6,7,7,16
22269,4,8,8,7,7,15,12,16,21,6,32,39
15370,28,37,62,8,8,32,22,23,23,18,21,28
96993,0,21,24,18,18,22,10,12,13,5,12,23
31640,8,8,23,9,16,19,10,19,43,17,28,31
23893,0,12,26,15,23,26,1,21,28,10,11,19
31708,17,17,23,10,25,33,10,29,47,9,18,26
37864,2,7,25,10,21,30,6,22,41,23,28,39
25571,13,15,17,0,1,8,16,20,36,2,17,31
10826,3,18,36,16,31,37,9,12,25,23,39,63
19162,4,9,9,1,9,12,4,16,25,2,16,16
07689,0,2,18,8,22,25,5,13,41,21,21,36
25593,10,27,53,3,3,22,9,14,23,2,3,22
06925,2,10,12,6,30,46,3,13,18,19,26,44
09191,27,43,53,7,7,14,13,16,32,1,3,4
77836,12,17,17,6,10,14,6,28,30,14,15,27
76302,3,9,13,13,23,50,18,27,37,5,9,9
92839,10,28,47,10,15,35,16,18,27,15,30,49
32606,11,18,31,8,30,31,7,10,18,29,36,47
33428,20,34,47,30,40,70,9,19,23,5,9,20
50091,5,19,41,17,39,54,10,20,27,6,7,13
59149,11,11,13,19,30,36,20,22,43,5,5,14
91440,4,33,34,20,31,41,5,6,22,11,20,33
33579,20,30,38,11,11,24,1,11,17,8,18,21
93949,0,5,7,20,30,37,4,11,41,9,9,15
89547,2,19,29,15,41,50,2,2,8,16,21,36
66473,24,24,31,1,23,49,8,8,13,6,6,7
18101,0,13,20,8,28,30,18,32,42,8,22,25
40616,18,32,39,9,15,23,4,7,17,17,18,19
