uid,count_late_for_work_1m,count_late_for_work_2m,count_late_for_work_3m,count_early_from_work_1m,count_early_from_work_2m,count_early_from_work_3m,count_day_off_1m,count_day_off_2m,count_day_off_3m
77052,5,28,55,29,41,44,6,13,21
05885,5,24,33,9,12,13,2,12,19
76878,12,18,29,2,16,34,19,35,37
49751,3,7,11,13,26,40,6,21,21
10459,7,10,26,9,23,30,13,23,30
36746,14,15,21,16,16,16,15,16,19
37669,15,23,49,3,9,14,18,19,35
99046,13,18,24,8,21,22,1,7,14
30958,1,2,7,13,23,25,8,18,24
68186,28,44,61,9,20,26,10,20,21
06693,10,16,18,19,29,31,2,16,24
89687,2,3,5,1,1,25,9,12,25
46857,25,30,42,4,20,49,7,8,38
50515,19,20,29,8,12,23,15,25,31
36185,8,10,23,14,43,56,1,4,10
15621,9,22,27,9,29,35,22,24,25
03071,2,9,18,28,45,45,3,7,8
77186,5,10,14,19,24,25,4,19,34
49589,0,5,6,27,28,35,28,45,70
98326,17,39,39,15,22,25,26,37,50
47132,10,35,39,2,2,29,3,22,35
44264,8,33,41,4,16,17,25,39,43
74759,0,9,19,13,16,25,6,33,52
47816,28,47,48,14,21,26,16,21,33
29717,1,1,1,1,5,24,20,21,40
38222,25,34,36,20,27,54,12,32,33
14246,20,44,50,20,20,33,3,23,30
93100,6,9,22,0,3,4,2,19,20
45933,2,8,29,1,16,27,9,24,25
89631,9,33,43,10,11,26,15,32,49
38786,10,31,31,13,41,63,1,6,9
37202,12,32,52,10,12,31,6,24,24
23333,9,11,18,24,38,40,8,17,21
51021,13,13,14,12,15,33,0,6,11
57401,19,22,27,12,18,28,15,18,24
50700,9,31,46,6,14,23,15,21,27
13340,4,23,38,0,0,17,0,9,11
25966,4,19,26,17,31,47,2,11,27
72795,0,4,16,22,36,50,1,6,26
66426,11,25,40,8,9,15,0,20,21
28953,5,12,20,4,4,18,19,46,46
95772,1,2,20,0,11,19,3,12,23
36661,9,32,41,15,23,26,8,17,29
91142,5,20,32,5,13,23,29,44,54
29430,1,20,33,9,12,40,1,31,44
49599,8,10,10,8,9,23,3,10,22
76253,0,0,16,4,12,24,27,28,45
86228,3,5,17,20,21,30,17,33,41
25721,18,37,37,29,34,34,25,26,43
89254,9,17,25,16,16,28,10,26,43
18223,11,26,36,8,14,18,7,17,22
59424,4,9,27,5,7,10,9,38,63
88401,14,22,33,23,39,61,12,41,56
28911,23,31,37,16,36,41,2,13,14
13535,15,36,39,0,2,15,10,13,39
78025,5,14,18,3,13,22,1,14,22
08810,24,29,43,17,18,34,3,12,19
15470,10,14,17,3,12,15,9,9,18
90014,0,7,17,26,46,70,4,12,16
08693,9,16,26,5,10,16,6,29,33
83737,19,27,36,1,2,5,4,19,20
